SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
144274,"HYUNDAI MOTOR INDIA LIMITED",A,STK,2470,2470,2470,2454.5,2470,2459,1,1,2470,
500002,"ABB INDIA LIMITED",A,STK,5067.15,5139.95,5017.6,5127.8,5123.95,4996.2,1572,6056,30729913,
500003,"AEGIS LOGISTICS LTD.",A,STK,672.6,698.9,672.6,693.9,694.3,672.6,1358,23874,16456446,
500008,"Amara Raja Energy & Mobility L",A,STK,991.8,1023.7,985.3,1011.85,1011.85,990.2,3823,74746,75437320,
500009,"AMBALAL SARABHAI ENTERPRISES L",X,STK,31.99,31.99,30.65,31.16,31.16,31.4,335,52685,1645316,
500012,"ANDHRA PETROCHEMICALS LTD.",X,STK,49.64,52.49,49.64,50.33,50.33,49.77,359,38483,1961192,
500013,"ANSAL PROPERTIES & INFRASTRUCT",Z,STK,5.15,5.15,5.08,5.1,5.1,5.13,30,6869,35045,
500014,"UTIQUE ENTERPRISES LIMITED",X,STK,5.21,5.52,5.21,5.34,5.4,5.42,130,13683,72663,
500016,"ARUNA HOTELS LTD.",X,STK,9.1,9.1,8.85,8.91,8.85,8.69,29,1126,10103,
500020,"BOMBAY DYEING & MFG.CO.LTD.",A,STK,171.45,173.8,169.3,172,172,169.85,925,64335,11050927,
500023,"ASIAN HOTELS (NORTH) LIMITED",B,STK,328.2,334.25,328.2,331.8,331.8,329.1,5,10,3312,
500027,"ATUL LTD.",A,STK,6248.2,6340.3,6248,6329.95,6301,6289.65,236,40513,256434029,
500028,"ATV PROJECTS INDIA LTD.",X,STK,39.48,39.48,36.5,38.13,37.25,38.28,296,47284,1783986,
500031,"BAJAJ ELECTRICALS LTD.",A,STK,569.2,574.65,568.6,571.45,571.35,568.35,231,2452,1400620,
500032,"BAJAJ HINDUSTHAN SUGAR LIMITED",A,STK,20.31,20.47,20.15,20.32,20.4,20.18,2847,413021,8368422,
500033,"FORCE MOTORS LTD.",A,STK,19577,19802.95,18778.1,19085.5,19153,19481.85,5386,15424,296175235,
500034,"BAJAJ FINANCE LIMITED",A,STK,877.8,894.7,877.8,889.05,890.35,877.8,3174,110058,97766081,
500038,"BALRAMPUR CHINI MILLS LTD.",A,STK,535.8,549.7,535.45,541.75,542.7,535.45,716,9546,5187925,
500039,"BANCO PRODUCTS (INDIA) LTD.",A,STK,576.55,594.3,573.95,590.65,590.65,577.35,1307,23554,13749918,
500040,"ADITYA BIRLA REAL ESTATE LIMIT",A,STK,1750.8,1789.9,1746,1776,1773,1748.85,752,4858,8594460,
500041,"BANNARI AMMAN SUGARS LTD.",B,STK,3754.8,3759.4,3603.9,3646.8,3603.9,3737.7,50,117,431642,
500042,"BASF INDIA LTD.",A,STK,4611.5,4680,4599.2,4628.7,4612,4611.65,211,523,2425766,
500043,"BATA INDIA LTD.",A,STK,1097.45,1122.85,1096.7,1115.55,1116.9,1097.45,652,4172,4637115,
500048,"BEML LTD.",A,STK,3845.6,3939,3845.6,3886.4,3929.4,3845.55,1868,11915,46176788,
500049,"BHARAT ELECTRONICS LTD.",A,STK,370.5,375.4,367.75,373.95,373.95,369.25,6338,459559,171229211,
500052,"BHANSALI ENGINEERING POLYMERS",B,STK,104.7,106.2,103,104.4,105.85,103.65,503,37077,3878658,
500058,"BIHAR SPONGE IRON LTD.",XT,STK,13.41,13.88,13.4,13.6,13.75,13.41,62,41745,569727,
500059,"BIL VYAPAR LIMITED",T,STK,10.31,11.39,10.31,11.37,11.27,10.85,22,2507,28336,
500060,"Birla Cable Limited",T,STK,155.2,160,155.2,156.5,156.5,156.8,20,793,124195,
500067,"BLUE STAR LTD.",A,STK,1874,1951.45,1874,1948.9,1948.9,1882.6,1806,19726,37951677,
500068,"DISA INDIA LTD.",B,STK,13750,13750,13500,13689.95,13749.9,13446.45,40,73,997906,
500069,"QUEST CAPITAL MARKETS LIMITED",X,STK,346.45,357.4,346.45,354.5,350.05,348.15,18,224,78635,
500074,"BPL LTD.",B,STK,78.35,80.17,76.95,79.94,80.06,77.87,169,2267,178145,
500078,"ORIENTAL AROMATICS LIMITED",B,STK,331.05,333.3,325.05,330.05,330.45,328.65,162,1486,488785,
500083,"CENTURY EXTRUSIONS LTD.",B,STK,20.61,22.51,20.61,22,22.51,21.17,211,4687,100930,
500084,"CESC LTD.",A,STK,153,156.85,152.5,155.95,155.95,152.05,1328,152709,23596238,
500085,"CHAMBAL FERTILISERS & CHEMICAL",A,STK,544.15,546.75,538.35,544.7,544.7,540.4,1311,33176,17998675,
500086,"EXIDE INDUSTRIES LTD.",A,STK,397.1,413.45,397,412.45,412.45,396.05,4300,227591,92719725,
500087,"CIPLA LTD.",A,STK,1585.45,1597.95,1583.35,1587.6,1587.6,1589.65,3550,82024,130651330,
500089,"DIC INDIA LTD.",B,STK,593.4,593.4,568.5,579.85,575.8,587.1,60,788,456904,
500092,"CRISIL LTD.",A,STK,4980.8,5095.1,4961.8,5066.65,5030.7,4976.1,422,1133,5696244,
500093,"CG Power and Industrial Soluti",A,STK,707.45,726.5,703.45,717.25,717.25,694.15,17016,851127,609530322,
500096,"DABUR INDIA LTD.",A,STK,523.55,524.5,520.3,523.55,523.5,520.95,2518,127877,66852055,
500097,"DALMIA BHARAT SUGAR AND INDUST",B,STK,367.7,376.75,367.7,373.85,374.35,374.25,291,4833,1807076,
500101,"ARVIND LTD.",A,STK,285.8,286.25,279.1,285.6,285.6,280.6,891,17879,5059771,
500103,"BHARAT HEAVY ELECTRICALS LTD.",A,STK,209.3,213.2,209.3,212.3,212.3,207.95,2737,210659,44621198,
500104,"HINDUSTAN PETROLEUM CORPORATIO",A,STK,377.05,385.6,376.25,385.25,385.25,375.9,2295,97984,37431221,
500106,"IFCI LTD.",A,STK,51.31,53.35,51.31,52.57,52.57,51.06,2454,352722,18467992,
500108,"MAHANAGAR TELEPHONE NIGAM LTD.",B,STK,43.71,44.23,43.51,43.63,43.58,43.7,1446,203900,8928982,
500109,"MANGALORE REFINERY & PETROCHEM",A,STK,122.1,126.35,122.1,125.95,125.9,122,1313,110009,13690292,
500110,"CHENNAI PETROLEUM CORPORATION",A,STK,641.25,692.25,641.25,687.1,687.1,644.85,4449,96509,65459681,
500112,"STATE BANK OF INDIA",A,STK,802.65,808.25,802.65,805.9,805.9,802.35,5990,164286,132296868,
500113,"STEEL AUTHORITY OF INDIA LTD.",A,STK,119.85,121.25,118.55,121.1,121,118.65,1616,212544,25566730,
500114,"TITAN COMPANY LIMITED",A,STK,3632,3652,3610.4,3618.5,3618.5,3628.55,1728,11032,40016261,
500116,"IDBI BANK LTD.",A,STK,86.04,87.38,86.04,87.03,87.03,85.69,3558,500080,43375798,
500117,"DCW LTD.",A,STK,73.2,73.97,72.74,73.39,73.25,72.71,597,52571,3853832,
500119,"DHAMPUR SUGAR MILLS LTD.",B,STK,124,126.05,123.75,126,126.05,123.55,872,15999,2003344,
500120,"DIAMINES & CHEMICALS LTD.",B,STK,363.75,366.8,355.95,361.85,362.7,365,147,886,319720,
500123,"ELANTAS BECK INDIA LTD.",B,STK,11057.6,11100,10751.05,10852.15,10900,11057.55,88,182,1984504,
500124,"DR.REDDYS LABORATORIES LTD.",A,STK,1263,1283.7,1260.65,1280.3,1280.3,1263,4173,90488,115476012,
500125,"E.I.D.-PARRY (INDIA) LTD.",A,STK,1111,1146.75,1098.95,1129.2,1124.55,1126.1,1836,23843,26890783,
500126,"PROCTER & GAMBLE HEALTH LIMITE",A,STK,6325.65,6361.15,6295.55,6313.05,6328.65,6363.75,113,324,2051045,
500128,"ELECTROSTEEL CASTINGS LTD.",A,STK,97.68,98.68,96.63,97.38,97.38,97.45,2380,229204,22325436,
500133,"ESAB INDIA LTD.",A,STK,5109.7,5132.7,5060,5121,5112.2,5128.65,60,254,1291420,
500135,"EPL LIMITED",A,STK,224.05,227.75,224.05,225,224.85,224.45,623,12887,2907733,
500136,"ESTER INDUSTRIES LTD.",B,STK,108.55,110.3,108.05,109.4,109.4,108.4,72,1904,208304,
500142,"FGP LTD.",X,STK,9.8,10.1,9.52,9.53,9.53,10.02,50,6812,65833,
500143,"PH CAPITAL LTD.",X,STK,189.2,197,189.2,194.9,196.2,192.9,63,2673,512009,
500144,"FINOLEX CABLES LTD.",A,STK,820,844.5,819.95,842.55,842.55,820.4,1668,29400,24594928,
500147,"JOHN COCKERILL INDIA LIMITED",B,STK,4388.55,4498,4321,4421.3,4421.3,4345.1,462,2717,11977231,
500148,"UFLEX LTD.",B,STK,563.1,563.1,520,529.45,531,516.95,243,2137,1130259,
500150,"FOSECO INDIA LTD.",B,STK,6249.95,6424.95,6066.05,6119.5,6076.25,6213.35,390,2804,17461530,
500151,"GOLDEN TOBACCO LTD.",Z,STK,35,35,34.01,34.06,34.06,35,11,203,6996,
500153,"GANESH BENZOPLAST LTD.",B,STK,93.32,98,93.32,96.85,96.85,92.65,889,39986,3857510,
500159,"METROGLOBAL LIMITED",X,STK,128.15,132,125,130.85,131.6,128.15,31,1556,202748,
500160,"GTL LTD.",B,STK,9.21,9.35,9.14,9.19,9.2,9.16,168,41077,378289,
500163,"GODFREY PHILLIPS INDIA LTD.",A,STK,11184.2,11184.2,10502,10569.05,10569.05,10994.1,9953,59506,640001925,
500164,"GODREJ INDUSTRIES LTD.",A,STK,1226.8,1231.45,1210,1224.65,1229.5,1228.25,501,2310,2817380,
500165,"KANSAI NEROLAC PAINTS LTD.",A,STK,244.95,244.95,238.95,241.15,241.25,239.85,479,14381,3469068,
500166,"GOODRICKE GROUP LTD.",X,STK,195.1,201.4,195.1,196.9,197.9,195,69,3029,595883,
500168,"GOODYEAR INDIA LTD.",B,STK,978,987.3,978,980.4,980,980,180,2173,2130406,
500170,"GTN INDUSTRIES LTD.",X,STK,25,25,23.01,23.26,23.12,23.76,44,3653,86556,
