SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SGBJUN28,GB,10300,10447.99,10300,10447.99,10447.99,10353.21,290,3007658.72,25-Aug-2025,42,IN0020200104
SGBN28VIII,GB,10498,10529,10215.01,10424.36,10439,10377.92,564,5877114.55,25-Aug-2025,78,IN0020200286
SGBMAY29I,GB,10372.45,10460,10350.02,10450.49,10450,10372.45,447,4651556.95,25-Aug-2025,95,IN0020210053
SGBJUN29II,GB,10400,10600,10400,10427.5,10450,10360,291,3038246.83,25-Aug-2025,60,IN0020210061
SGBJU29III,GB,10371.24,10469.08,10371.24,10436.58,10450,10371.24,95,990593.73,25-Aug-2025,43,IN0020210087
SGBSEP29VI,GB,10500,10699.99,10450,10549.99,10549.99,10400,130,1367631.42,25-Aug-2025,45,IN0020210145
SGBNV29VII,GB,10470,10699,10415,10581.33,10582,10413.73,129,1356746.05,25-Aug-2025,36,IN0020210178
SGBOCT25,GB,10349.61,10390.87,10010.11,10200,10200,10306.28,48,490981.70,25-Aug-2025,11,IN0020170059
SGBOCT25IV,GB,10301.2,10390,10107.02,10386.24,10390,10301.2,52,537543.67,25-Aug-2025,17,IN0020170067
SGBOCT25V,GB,10373.35,10394.82,10321.5,10387.66,10394.82,10321.75,52,537028.39,25-Aug-2025,12,IN0020170075
SGBNOV25,GB,10340,10348.72,10330,10348.72,10348.72,10340,27,279387.92,25-Aug-2025,6,IN0020170091
SGBDEC2512,GB,10302,10302,10302,10302,10302,10302,1,10302.00,25-Aug-2025,1,IN0020170141
SGBDEC2513,GB,10300,10300,10300,10300,10300,10300,19,195700.00,25-Aug-2025,7,IN0020170158
SGBMAY26,GB,10313.17,10389,10311.13,10389,10389,10365,8,82911.18,25-Aug-2025,4,IN0020180033
SGBNOV26,GB,10200.03,10350,10200.03,10350,10350,10950,12,123283.12,25-Aug-2025,7,IN0020180314
SGBDEC26,GB,10510,10510,10500,10500,10500,10500,13,136528.00,25-Aug-2025,4,IN0020180389
SGBJAN26,GB,10200.01,10388,10200,10388,10388,10500,14,144116.05,25-Aug-2025,4,IN0020170166
SGBJUN27,GB,10499,10499,10499,10499,10499,10280,1,10499.00,25-Aug-2025,1,IN0020190073
SGBJUL27,GB,10345,10345,10345,10345,10345,10318,1,10345.00,25-Aug-2025,1,IN0020190081
SGBAUG27,GB,10825,11100,10751,10815.96,10800.1,10677.52,123,1341676.60,25-Aug-2025,38,IN0020190107
SGBJAN27,GB,10382.97,10450,10382.97,10400,10400,10319.99,14,145598.91,25-Aug-2025,4,IN0020180462
SGBOCT27,GB,10390,10548,10390,10543.33,10548,10350,22,230095.30,25-Aug-2025,10,IN0020190370
SGBOCT27VI,GB,10280.01,10499.98,10001.01,10499.98,10499.98,10280.01,22,226460.98,25-Aug-2025,5,IN0020190388
SGBDC27VII,GB,10600,10650,10400,10441.1,10425,10600,99,1035338.55,25-Aug-2025,14,IN0020190461
SGBAPR28I,GB,10645,10949,10605,10745.91,10721,10555.01,221,2373596.50,25-Aug-2025,41,IN0020200062
SGBMAY28,GB,10449.99,10449.99,10350,10429.16,10426.87,10359,171,1776445.67,25-Aug-2025,31,IN0020200088
SGBJUL28IV,GB,10339,10422,10339,10420.09,10420,10337.98,277,2877982.69,25-Aug-2025,57,IN0020200146
SGBFEB28IX,GB,10340,10510,10340,10500,10500,10320.99,31,324287.00,25-Aug-2025,12,IN0020190545
SGBAUG28V,GB,10425,10498,10395,10428.32,10495,10396.36,1155,12033441.37,25-Aug-2025,189,IN0020200161
SGBSEP28VI,GB,10444.55,10484,10392,10474.34,10474.99,10392.59,270,2820171.98,25-Aug-2025,31,IN0020200195
SGBOC28VII,GB,10414.84,10450,10363.02,10445.86,10445,10363.02,184,1918389.57,25-Aug-2025,24,IN0020200203
SGBJ28VIII,GB,10396.72,10425,10301,10301,10301,10345,159,1657366.16,25-Aug-2025,15,IN0020190537
SGBMAR28X,GB,10380,10489.98,10380,10489.98,10489.98,10380,22,230359.70,25-Aug-2025,4,IN0020190552
SGBJUL29IV,GB,10398,10445,10320,10405,10405.01,10398,160,1668549.05,25-Aug-2025,48,IN0020210111
SGBJAN29IX,GB,10430,10469.01,10375,10438.71,10431,10430,289,3010978.88,25-Aug-2025,62,IN0020200377
SGBAUG29V,GB,10420,10601.74,10412,10555,10555,10384.71,225,2377855.38,25-Aug-2025,53,IN0020210129
SGBD29VIII,GB,10797,10797,10601,10653,10655,10590.09,92,982800.66,25-Aug-2025,24,IN0020210228
SGBJAN29X,GB,10357.74,10470,10354,10454,10454,10357.74,27,280511.73,25-Aug-2025,11,IN0020200385
SGBFEB29XI,GB,10439,10489,10315.01,10474.45,10489,10435,88,918618.02,25-Aug-2025,22,IN0020200393
SGBMR29XII,GB,10382.25,10478,10382.25,10450,10450,10382.25,176,1836760.58,25-Aug-2025,54,IN0020200427
SGBJUN30,GB,11078.42,11099,10819,11049.5,11099,11078.42,34,373936.10,25-Aug-2025,16,IN0020220045
SGBAUG30,GB,11599.99,11600,11411.51,11451.21,11499,11490.32,342,3921172.24,25-Aug-2025,48,IN0020220078
SGBDE30III,GB,11178,11179.99,10500,10993.56,11030,11018.5,1239,13553121.10,25-Aug-2025,228,IN0020220110
SGBJAN30IX,GB,10982.85,10982.85,10851,10915.11,10950,10767.5,315,3435440.58,25-Aug-2025,42,IN0020210236
SGBMAR30X,GB,10612.01,10890,10611,10850,10850,10800.15,119,1283043.08,25-Aug-2025,31,IN0020210319
SGBJUN31I,GB,11161.05,11300,11161.02,11237.64,11226.55,11155.85,516,5802479.61,25-Aug-2025,117,IN0020230069
SGBSEP31II,GB,11298,11298,11146.36,11246.98,11234,11183.4,695,7810084.22,25-Aug-2025,161,IN0020230093
SGBDE31III,GB,11298,11345,11208.85,11332.1,11325,11208.85,981,11100004.53,25-Aug-2025,251,IN0020230168
SGBMAR31IV,GB,11139,11398.99,11139,11249.58,11250,11135,245,2763903.84,25-Aug-2025,65,IN0020220169
SGBFEB32IV,GB,12100,12498,11975,12060.35,12050,11969.51,1116,13492081.61,25-Aug-2025,271,IN0020230184
20MICRONS,EQ,235.09,239.87,231.35,233.56,235.06,234.36,92170,21699992.53,25-Aug-2025,2765,INE144J01027
21STCENMGM,EQ,56.99,56.99,54.88,55.02,54.88,56,6805,376426.40,25-Aug-2025,131,INE253B01015
360ONE,EQ,1081.6,1099.5,1070,1092.7,1098,1077.6,853932,927805852.10,25-Aug-2025,49621,INE466L01038
GOLD360,EQ,98.1,99.9,98,99,99.05,98,4766,471992.80,25-Aug-2025,72,INF579M01BB5
SILVER360,EQ,116.6,116.6,114,115.15,115.15,113.76,11817,1365978.10,25-Aug-2025,113,INF579M01BC3
3IINFOLTD,EQ,23.77,24.09,23.63,23.69,23.75,23.68,124818,2978410.76,25-Aug-2025,974,INE748C01038
3MINDIA,EQ,30550,30900,30215,30520,30630,30550,3636,111033010.00,25-Aug-2025,2294,INE470A01017
3PLAND,EQ,49,50.18,46.5,48,48.76,47.98,11750,569353.28,25-Aug-2025,185,INE105C01023
5PAISA,EQ,369,370.95,360,362.45,364.2,369,22032,8038711.25,25-Aug-2025,2014,INE618L01018
63MOONS,EQ,963.9,978.3,939.1,951.5,954,960.2,183075,175315728.40,25-Aug-2025,12866,INE111B01023
736PFCL28,N2,1080.21,1080.21,1080.21,1080.21,1080.21,1080.2,30,32406.30,25-Aug-2025,1,INE134E07349
751HUDCO28,N5,1075,1080.07,1075,1080.06,1080.06,1075.13,436,469446.60,25-Aug-2025,8,INE031A07865
