ISIN,Code,SYMBOL,SERIES,EXCH
INE150B01039,ALKYLAMINE,ALKYLAMINE,EQ,NSE
INE0M2X01012,ALLETEC,ALLETEC,SM,NSE
INE0GV601021,ALLTIME,ALLTIME,EQ,NSE
INE152B01027,ACLGATI,ACLGATI,EQ,NSE
INE418H01029,ALLCARGO,ALLCARGO,EQ,NSE
INE0NN701020,ATL,ATL,EQ,NSE
INE835G01018,ALLDIGI,ALLDIGI,EQ,NSE
INE552Z01027,ABDL,ABDL,EQ,NSE
INE102I01027,ADSL,ADSL,EQ,NSE
INE326B01035,ALMONDZ,ALMONDZ,EQ,NSE
INE270A01029,ALOKINDS,ALOKINDS,EQ,NSE
INE385I01010,ALPA,ALPA,EQ,NSE
INE0R4701017,ALPEXSOLAR,ALPEXSOLAR,SM,NSE
INE137C01018,ALPHAGEO,ALPHAGEO,EQ,NSE
INE0STM01017,ALUWIND,ALUWIND,ST,NSE
INE885A01032,ARE&M,ARE&M,EQ,NSE
INE371P01015,AMBER,AMBER,EQ,NSE
INE0M3I01029,AMBEY,AMBEY,SM,NSE
INE792B01012,AMBICAAGAR,AMBICAAGAR,EQ,NSE
INE540G01014,AMBIKCO,AMBIKCO,EQ,NSE
INE079A01024,AMBUJACEM,AMBUJACEM,EQ,NSE
INE005I01014,AMDIND,AMDIND,EQ,NSE
INE0KT901015,AMEYA,AMEYA,SM,NSE
INE0MTP01013,AMIABLE,AMIABLE,SM,NSE
INE275D01022,AMNPLST,AMNPLST,EQ,NSE
INE606A01024,AMJLAND,AMJLAND,EQ,NSE
INE098F01031,AMRUTANJAN,AMRUTANJAN,EQ,NSE
INE463V01026,ANANDRATHI,ANANDRATHI,EQ,NSE
INE242C01024,ANANTRAJ,ANANTRAJ,EQ,NSE
INE0VG001016,AMCL,AMCL,SM,NSE
INE435A01051,ANDHRAPAP,ANDHRAPAP,EQ,NSE
INE715B01021,ANDHRSUGAR,ANDHRSUGAR,EQ,NSE
INE732I01013,ANGELONE,ANGELONE,EQ,NSE
INE635Y01015,AISL,AISL,SM,NSE
INE087B01017,ANIKINDS,ANIKINDS,EQ,NSE
INE106I01010,ANKITMETAL,ANKITMETAL,BZ,NSE
INE0LR101013,ANLON,ANLON,ST,NSE
INE02AR01019,ANMOL,ANMOL,EQ,NSE
INE0MGM01017,ANNAPURNA,ANNAPURNA,SM,NSE
INE0VTV01012,ANONDITA,ANONDITA,ST,NSE
INE436A01026,ANSALAPI,ANSALAPI,BZ,NSE
INE414B01021,ANTGRAPHIC,ANTGRAPHIC,EQ,NSE
INE0CZ201020,ANTHEM,ANTHEM,EQ,NSE
INE01BK01022,AWHCL,AWHCL,EQ,NSE
INE489G01022,ANUHPHR,ANUHPHR,EQ,NSE
INE930P01018,ANURAS,ANURAS,EQ,NSE
INE0SI601032,ANYA,ANYA,SM,NSE
INF1J2R01056,AONELIQUID,AONELIQUID,EQ,NSE
INF1J2R01064,AONENIFTY,AONENIFTY,EQ,NSE
INF1J2R01015,AONETOTAL,AONETOTAL,EQ,NSE
INE372A01015,APARINDS,APARINDS,EQ,NSE
INE116A01032,APCOTEXIND,APCOTEXIND,EQ,NSE
INE0T4V01015,APEXECO,APEXECO,SM,NSE
INE346W01013,APEX,APEX,EQ,NSE
INE702C01027,APLAPOLLO,APLAPOLLO,EQ,NSE
INE437A01024,APOLLOHOSP,APOLLOHOSP,EQ,NSE
INE713T01028,APOLLO,APOLLO,EQ,NSE
INE126J01016,APOLLOPIPE,APOLLOPIPE,EQ,NSE
INE451F01024,APOLSINHOT,APOLSINHOT,EQ,NSE
INE438A01022,APOLLOTYRE,APOLLOTYRE,EQ,NSE
INE0LQG01010,APRAMEYA,APRAMEYA,ST,NSE
INE266F01018,APTECHT,APTECHT,EQ,NSE
INE852O01025,APTUS,APTUS,EQ,NSE
INE0YDV01010,ARCIIL,ARCIIL,ST,NSE
INE128X01021,ACI,ACI,EQ,NSE
INE0CHO01012,ADL,ADL,EQ,NSE
INE877I01016,ARCHIDPLY,ARCHIDPLY,EQ,NSE
INE784R01023,ARFIN,ARFIN,EQ,NSE
INE0L2Y01011,ARHAM,ARHAM,SM,NSE
INE298I01015,ARIES,ARIES,EQ,NSE
INE0NCC01015,ARIHANTACA,ARIHANTACA,SM,NSE
INE420B01036,ARIHANTCAP,ARIHANTCAP,EQ,NSE
INE643K01018,ARIHANTSUP,ARIHANTSUP,EQ,NSE
INE0H9P01028,ARISINFRA,ARISINFRA,EQ,NSE
INE0QRL01017,ARKADE,ARKADE,EQ,NSE
INE109C01017,ARMANFIN,ARMANFIN,BL,NSE
INE210C01013,AROGRANITE,AROGRANITE,EQ,NSE
INE570D01018,ARROWGREEN,ARROWGREEN,EQ,NSE
INE968D01022,ARSHIYA,ARSHIYA,BZ,NSE
INE025R01021,ARTEMISMED,ARTEMISMED,EQ,NSE
INE0TTG01017,ARUNAYA,ARUNAYA,ST,NSE
INE006Z01016,ARVEE,ARVEE,EQ,NSE
INE955V01021,ARVINDFASN,ARVINDFASN,EQ,NSE
INE034A01011,ARVIND,ARVIND,EQ,NSE
INE0P4T01013,ARVINDPORT,ARVINDPORT,ST,NSE
INE034S01021,ARVSMART,ARVSMART,EQ,NSE
INE439A01020,ASAHIINDIA,ASAHIINDIA,EQ,NSE
INE228I01012,ASAHISONG,ASAHISONG,EQ,NSE
INE0LAA01017,ASHALOG,ASHALOG,SM,NSE
INE348A01023,ASHAPURMIN,ASHAPURMIN,EQ,NSE
INE365D01021,ASHIANA,ASHIANA,EQ,NSE
INE440A01010,ASHIMASYN,ASHIMASYN,EQ,NSE
INE208A01029,ASHOKLEY,ASHOKLEY,EQ,NSE
INE442H01029,ASHOKA,ASHOKA,EQ,NSE
INE760Y01011,ASHOKAMET,ASHOKAMET,EQ,NSE
INE276G01015,ASIANENE,ASIANENE,EQ,NSE
INE926K01017,AHLEAST,AHLEAST,EQ,NSE
INE363A01022,ASIANHOTNR,ASIANHOTNR,EQ,NSE
INE021A01026,ASIANPAINT,ASIANPAINT,EQ,NSE
INE491J01022,ASKAUTOLTD,ASKAUTOLTD,EQ,NSE
INE617I01024,ASLIND,ASLIND,ST,NSE
INE991I01015,ASPINWALL,ASPINWALL,EQ,NSE
INE0S7801010,ASPIRE,ASPIRE,ST,NSE
INE073G01016,ASALCBR,ASALCBR,EQ,NSE
INE563J01010,ASTEC,ASTEC,EQ,NSE
INE914M01019,ASTERDM,ASTERDM,EQ,NSE
INE386C01029,ASTRAMICRO,ASTRAMICRO,EQ,NSE
INE006I01046,ASTRAL,ASTRAL,EQ,NSE
INE203A01020,ASTRAZEN,ASTRAZEN,EQ,NSE
INE646X01014,ASTRON,ASTRON,EQ,NSE
INE09KD01013,ATAM,ATAM,EQ,NSE
INE0V0Q01019,ATCENERGY,ATCENERGY,SM,NSE
INE0LEZ01016,ATHERENERG,ATHERENERG,EQ,NSE
INE285H01022,ATLANTAA,ATLANTAA,EQ,NSE
INE05DH01017,ATMASTCO,ATMASTCO,SM,NSE
INE951D01028,ATULAUTO,ATULAUTO,EQ,NSE
INE100A01010,ATUL,ATUL,EQ,NSE
INE949L01017,AUBANK,AUBANK,EQ,NSE
INE448V01019,AURDIS,AURDIS,SM,NSE
INE132H01018,AURIONPRO,AURIONPRO,EQ,NSE
INE0NUL01018,AUROIMPEX,AUROIMPEX,SM,NSE
INE406A01037,AUROPHARMA,AUROPHARMA,EQ,NSE
INE898S01029,AURUM,AURUM,EQ,NSE
INE0P0001010,APS,APS,ST,NSE
INE206F01022,AIIL,AIIL,EQ,NSE
INE718H01014,AUTOIND,AUTOIND,EQ,NSE
INE449A01011,AUTOAXLES,AUTOAXLES,EQ,NSE
INE900C01027,ASAL,ASAL,EQ,NSE
INE349W01017,AVADHSUGAR,AVADHSUGAR,EQ,NSE
INE0LCL01028,AVALON,AVALON,EQ,NSE
INE005B01027,AVANTEL,AVANTEL,EQ,NSE
INE871C01038,AVANTIFEED,AVANTIFEED,EQ,NSE
INE192R01011,DMART,DMART,EQ,NSE
INE680Z01018,AVG,AVG,EQ,NSE
