SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
100112,"STATE BANK OF INDIA",A,STK,814.35,814.35,814.35,802.35,814.35,802.05,2,4,3257,
132822,"VODAFONE IDEA  LIMITED",A,STK,6.6,6.7,6.6,6.49,6.6,6.58,7,45,300,
500002,"ABB INDIA LIMITED",A,STK,5001,5056.25,4940.5,4996.2,4989.45,5001.05,2350,11730,58762604,
500003,"AEGIS LOGISTICS LTD.",A,STK,706,706,663,672.6,672.6,694.5,1303,53455,35996802,
500008,"Amara Raja Energy & Mobility L",A,STK,966.65,992,966.55,990.2,990.2,968.75,4475,88389,87043878,
500009,"AMBALAL SARABHAI ENTERPRISES L",X,STK,31.35,31.9,30.75,31.4,31.5,31.64,261,55715,1756451,
500012,"ANDHRA PETROCHEMICALS LTD.",X,STK,48.31,50.8,48.31,49.77,49.6,49.88,272,24540,1211716,
500013,"ANSAL PROPERTIES & INFRASTRUCT",Z,STK,5.14,5.2,5.13,5.13,5.19,5.23,26,14935,76688,
500014,"UTIQUE ENTERPRISES LIMITED",X,STK,5.64,5.64,5.27,5.42,5.4,5.45,85,11896,65129,
500016,"ARUNA HOTELS LTD.",X,STK,9.05,9.2,8.66,8.69,8.68,9.01,25,3542,31356,
500020,"BOMBAY DYEING & MFG.CO.LTD.",A,STK,173,175.35,169,169.85,169.5,173.35,1469,80356,13839813,
500023,"ASIAN HOTELS (NORTH) LIMITED",B,STK,332.35,334,322.15,329.1,334,324.4,8,42,13702,
500027,"ATUL LTD.",A,STK,6432.1,6432.1,6216.95,6289.65,6263.5,6305.95,692,2849,17948639,
500028,"ATV PROJECTS INDIA LTD.",X,STK,38.21,39.1,37.66,38.28,38.57,38.12,191,36767,1424659,
500031,"BAJAJ ELECTRICALS LTD.",A,STK,565,578.2,565,568.35,569,573.15,107,904,516772,
500032,"BAJAJ HINDUSTHAN SUGAR LIMITED",A,STK,20.39,20.49,20.09,20.18,20.18,20.39,2801,849094,17236721,
500033,"FORCE MOTORS LTD.",A,STK,19451.15,20200,19448,19481.85,19481.85,19395.05,4446,11967,237395276,
500034,"BAJAJ FINANCE LIMITED",A,STK,870,887.95,870,877.8,877.8,877.05,7297,235969,207773121,
500038,"BALRAMPUR CHINI MILLS LTD.",A,STK,550.55,550.55,533.3,535.45,535.45,550.55,1008,13296,7195517,
500039,"BANCO PRODUCTS (INDIA) LTD.",A,STK,590.5,591.35,575,577.35,575,587.25,912,14743,8543423,
500040,"ADITYA BIRLA REAL ESTATE LIMIT",A,STK,1759.25,1778.95,1736,1748.85,1768.5,1750.55,796,4929,8633937,
500041,"BANNARI AMMAN SUGARS LTD.",B,STK,4099.95,4099.95,3707.55,3737.7,3707.55,3782.9,5,167,653510,
500042,"BASF INDIA LTD.",A,STK,4553,4744.6,4545.15,4611.65,4615,4553,595,2758,12922856,
500043,"BATA INDIA LTD.",A,STK,1085,1118.85,1078.7,1097.45,1100,1079.75,2690,29965,32939671,
500048,"BEML LTD.",A,STK,3869.85,3898.1,3815,3845.55,3855.65,3836.35,907,5442,20955208,
500049,"BHARAT ELECTRONICS LTD.",A,STK,362.45,371.1,361.8,369.25,369.25,363.9,12894,3850296,1420553484,
500052,"BHANSALI ENGINEERING POLYMERS",B,STK,105.15,105.3,103.35,103.65,103.9,105.1,247,11716,1221472,
500058,"BIHAR SPONGE IRON LTD.",XT,STK,13.99,13.99,13.23,13.41,13.41,13.59,45,4423,59877,
500059,"BIL VYAPAR LIMITED",T,STK,10.85,10.85,10.85,10.85,10.85,10.72,3,11,119,
500060,"Birla Cable Limited",T,STK,156,158.2,154.45,156.8,157.25,156.05,31,2200,342476,
500067,"BLUE STAR LTD.",A,STK,1886.7,1899.9,1871.65,1882.6,1882.6,1879.75,811,7281,13713999,
500068,"DISA INDIA LTD.",B,STK,13823.65,13889,13320,13446.45,13679.9,13823.65,81,222,2985185,
500069,"QUEST CAPITAL MARKETS LIMITED",X,STK,356,356,342,348.15,348,347,33,387,134680,
500074,"BPL LTD.",B,STK,78.1,80.05,77.2,77.87,79.15,78.31,255,5427,425091,
500078,"ORIENTAL AROMATICS LIMITED",B,STK,336.3,338,325.45,328.65,329.2,328.3,88,959,321731,
500083,"CENTURY EXTRUSIONS LTD.",B,STK,21.5,21.98,21,21.17,21.15,21.02,425,12623,269311,
500084,"CESC LTD.",A,STK,154.7,155.55,151.7,152.05,152.3,154.25,4172,242157,37096842,
500085,"CHAMBAL FERTILISERS & CHEMICAL",A,STK,544,550,536.45,540.4,540.4,541.45,908,29271,15883804,
500086,"EXIDE INDUSTRIES LTD.",A,STK,392.6,398.6,391.5,396.05,395.7,393.6,1797,75409,29854695,
500087,"CIPLA LTD.",A,STK,1584.95,1596.3,1569,1589.65,1590,1578.55,1723,32107,50962926,
500089,"DIC INDIA LTD.",B,STK,586,590.05,580.85,587.1,586,582.5,92,1370,802082,
500092,"CRISIL LTD.",A,STK,4939.7,5026.95,4900,4976.1,4966.05,4906.35,513,1518,7561462,
500093,"CG Power and Industrial Soluti",A,STK,688.95,699.7,668.2,694.15,695,663.65,20354,914720,628778812,
500096,"DABUR INDIA LTD.",A,STK,516.25,528.55,509.85,520.95,520.95,513.75,2299,75953,39511138,
500097,"DALMIA BHARAT SUGAR AND INDUST",B,STK,377.85,381.85,372.5,374.25,374.25,375.7,146,3389,1272057,
500101,"ARVIND LTD.",A,STK,283.7,287.05,280,280.6,280.6,284.65,1050,26016,7378559,
500103,"BHARAT HEAVY ELECTRICALS LTD.",A,STK,208.4,211.5,205.2,207.95,208.4,208.4,2798,190158,39712108,
500104,"HINDUSTAN PETROLEUM CORPORATIO",A,STK,382.15,383.6,375.1,375.9,376.5,381.7,1805,67849,25680945,
500106,"IFCI LTD.",A,STK,51.85,51.95,51,51.06,51.06,51.59,3176,310208,15940783,
500108,"MAHANAGAR TELEPHONE NIGAM LTD.",B,STK,44,44.6,43.42,43.7,43.7,43.89,1351,214051,9389851,
500109,"MANGALORE REFINERY & PETROCHEM",A,STK,121.7,122.75,120.35,122,122,121.7,1494,90805,11069061,
500110,"CHENNAI PETROLEUM CORPORATION",A,STK,645.1,650,640.25,644.85,645.85,645.2,1048,20398,13162263,
500112,"STATE BANK OF INDIA",A,STK,802,807,798.6,802.35,802.35,802.05,10024,520632,418704652,
500113,"STEEL AUTHORITY OF INDIA LTD.",A,STK,119.7,120.3,118.2,118.65,118.65,119.35,3446,317045,37805065,
500114,"TITAN COMPANY LIMITED",A,STK,3636.9,3640,3605,3628.55,3625,3636.8,1728,7933,28710794,
500116,"IDBI BANK LTD.",A,STK,90,90.38,84.2,85.69,85.69,89.87,7144,1377784,119485562,
500117,"DCW LTD.",A,STK,73.32,73.93,72.39,72.71,72.97,73.32,869,78049,5706073,
500119,"DHAMPUR SUGAR MILLS LTD.",B,STK,123.05,126,123,123.55,124,124.7,509,16393,2037902,
500120,"DIAMINES & CHEMICALS LTD.",B,STK,356.05,365,356.05,365,365,354.6,23,111,40439,
500123,"ELANTAS BECK INDIA LTD.",B,STK,11050,11099,11000,11057.55,11095,11061.15,37,131,1448291,
500124,"DR.REDDYS LABORATORIES LTD.",A,STK,1256.2,1265.65,1241.7,1263,1263,1260.8,15186,418305,526756421,
500125,"E.I.D.-PARRY (INDIA) LTD.",A,STK,1125,1136.3,1102.5,1126.1,1135.4,1127.15,524,3157,3534281,
500126,"PROCTER & GAMBLE HEALTH LIMITE",A,STK,6444,6700,6311.7,6363.75,6311.7,6286.9,740,2882,18733201,
500128,"ELECTROSTEEL CASTINGS LTD.",A,STK,99.4,99.9,97.15,97.45,97.45,98.35,540,39482,3887578,
500133,"ESAB INDIA LTD.",A,STK,5227,5239.45,5118.6,5128.65,5118.6,5231.4,95,224,1161950,
500135,"EPL LIMITED",A,STK,222.35,226.75,222,224.45,225.3,224.7,1161,33433,7513674,
500136,"ESTER INDUSTRIES LTD.",B,STK,108,111.95,108,108.4,108.05,111.05,118,4024,443018,
500142,"FGP LTD.",X,STK,10.78,10.78,10.02,10.02,10.02,10.54,43,4619,46561,
500143,"PH CAPITAL LTD.",X,STK,193,202.85,190.1,192.9,192.9,195.75,30,679,131050,
500144,"FINOLEX CABLES LTD.",A,STK,820,827.15,812.75,820.4,818.85,816.4,552,5842,4787198,
500147,"JOHN COCKERILL INDIA LIMITED",B,STK,4465.15,4499.95,4332,4345.1,4345.1,4459.25,286,1620,7118614,
500148,"UFLEX LTD.",B,STK,513.7,532.95,511,516.95,531.45,514.4,166,1958,1019966,
500150,"FOSECO INDIA LTD.",B,STK,6593,6593,6150,6213.35,6213.35,6455.1,240,1016,6456896,
500151,"GOLDEN TOBACCO LTD.",Z,STK,35,36,35,35,35,36.39,5,69,2435,
500153,"GANESH BENZOPLAST LTD.",B,STK,93.7,94.27,92.4,92.65,93.32,94.47,300,12649,1177335,
500159,"METROGLOBAL LIMITED",X,STK,129,129,128.15,128.15,128.15,129.85,8,455,58359,
500160,"GTL LTD.",B,STK,9.26,9.53,9.11,9.16,9.16,9.26,356,74639,689624,
500163,"GODFREY PHILLIPS INDIA LTD.",A,STK,10716.95,11400,10523.65,10994.1,10994.1,10595.8,20468,126516,1398975966,
500164,"GODREJ INDUSTRIES LTD.",A,STK,1247.1,1254,1223.95,1228.25,1226.8,1250.6,367,2990,3695049,
500165,"KANSAI NEROLAC PAINTS LTD.",A,STK,239.35,243,238.5,239.85,239.4,237.9,782,29389,7073977,
500166,"GOODRICKE GROUP LTD.",X,STK,192.05,197,192.05,195,195,194,81,5301,1026501,
500168,"GOODYEAR INDIA LTD.",B,STK,985.75,985.75,979.9,980,979.9,980.25,169,2791,2735736,
500170,"GTN INDUSTRIES LTD.",X,STK,25.49,25.49,23.5,23.76,23.76,25,17,1923,45739,
500171,"GHCL LTD.",A,STK,551.1,559.05,549.15,551.7,551.7,555.15,351,3784,2092132,
500173,"GFL LIMITED",B,STK,60.34,60.74,59.4,60.62,60.74,59.22,61,740,44251,
500174,"GUJARAT LEASE FINANCING LTD.",T,STK,6,6.19,6,6.19,6.19,5.93,3,145,892,
500179,"HCL INFOSYSTEMS LTD.",T,STK,15.1,15.6,14.75,15.5,15.6,15.1,206,31289,478860,
500180,"HDFC BANK LTD.",A,STK,955.95,963.45,950,951.45,951.45,958,23480,539645,515761132,
500182,"HERO MOTOCORP LTD.",A,STK,5091.9,5147.4,5061.45,5087.3,5092.9,5090.85,3358,15167,77366912,
