SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
939725,AEL-9.32%-12-9-27-NCD,F,STK,1007.7,1007.7,1007.7,1007.7,1007.7,1000,1,100,100770,
939727,AEL-9.65%-12-9-27-NCD,F,STK,1008.93,1010,1008.93,1009.99,1009.99,1009,21,2229,2250969,
939737,MFCL-9%-16-9-26-NCD,F,STK,991,991,991,991,991,991,10,254,251714,
939751,MFCL-10.10%-16-9-30-NCD,F,STK,1043,1043,1042,1042,1042,1044,2,8,8340,
939759,MFCL-16-9-30-NCD,F,STK,1035,1035,1035,1035,1035,1034.71,1,100,103500,
939803,ICFL-10.50%-25-9-26-NCD,F,STK,1109.52,1109.52,1109.52,1109.52,1109.52,1108.16,1,5,5547,
939813,NHFL-9.5%-8-10-26-NCD,F,STK,1050.2,1050.2,1050.2,1050.2,1050.2,1035.2,1,10,10502,
939833,UCL-10.15%-24-4-26-NCD,F,STK,1000,1000,1000,1000,1000,989.36,2,175,175000,
939835,UCL-10.25%-24-10-26-NCD,F,STK,994,994,978.71,992,992,1000,3,34,33538,
939839,EFSL-9.50%-24-10-26-NCD,F,STK,1046.2,1046.2,1046.2,1046.2,1046.2,1055.17,1,2,2092,
939847,EFSL-24-10-27-NCD,F,STK,1052.8,1052.8,1052.8,1052.8,1052.8,1030.2,1,8,8422,
939871,MFCL-9.40%-30-10-26-NCD,F,STK,1062.8,1062.8,1062.8,1062.8,1062.8,1062.8,1,10,10628,
939873,MFCL-9.65%-30-10-27-NCD,F,STK,1050,1050,1050,1050,1050,980,1,50,52500,
939901,IML-7-5-30-NCD,F,STK,1035,1054,1035,1054,1054,1035,2,20,20890,
939903,MMFL-8.50%-12-2-26-NCD,F,STK,970,987,970,987,987,997.5,2,20,19570,
939905,MMFL-9%-18-1-27-NCD,F,STK,990,990,990,990,990,990,2,20,19800,
939913,MMFL-10%-18-11-28-NCD,F,STK,995,995,990,990,990,995,9,64,63435,
939915,MMFL-18-5-30-NCD,F,STK,1017,1017,1017,1017,1017,1015,4,75,76275,
939923,ICLFL-12.20%-02-12-29-NCD,F,STK,910,1029,910,1029,1029,1090,3,50,48380,
939957,KFL-11-6-26-NCD,F,STK,1022,1022,1022,1022,1022,1030,2,50,51100,
939983,IHFL-8.9%-26-12-29-NCD,F,STK,980,980,980,980,980,954.44,1,15,14700,
940033,NHFL-9.5%-6-1-27-NCD,F,STK,1020.2,1020.2,1020.2,1020.2,1020.2,1002.1,1,10,10202,
940043,NHFL-10.03%-6-1-30-NCD,F,STK,980,980,980,980,980,980,6,16,15680,
940053,MFLIII-9%-10-1-27-NCD,F,STK,985,999,976.25,999,999,985,7,76,74837,
940059,MFLIII-9.65%-10-1-31-NCD,F,STK,982.02,996.5,981,996.5,996.5,981,5,500,493701,
940075,MFLIII-10-1-31-NCD,F,STK,990,990,990,990,990,990,1,25,24750,
940085,CCIL-12%-16-1-30-NCD,F,STK,1007,1007,1007,1007,1007,1010,2,70,70490,
940101,EFSL-9.57%-24-1-28-NCD,F,STK,980,980,980,980,980,980,7,136,133280,
940109,EFSL-10.50%-24-1-30-NCD,F,STK,1030,1030,1030,1030,1030,1015,1,7,7210,
940167,MFLIV-9.30%-24-8-26-NCD,F,STK,1025.8,1025.8,1025.8,1025.8,1025.8,1020,1,80,82064,
940179,MFLIV-24-2-27-NCD,F,STK,1020,1020,1020,1020,1020,1027.8,2,250,255000,
940201,SCL-9.02%-19-03-28-NCD,F,STK,964.99,965,943,945.84,943,969,9,616,588709,
940227,PCL-13%-20-3-30-NCD,F,STK,1040,1040,1040,1040,1040,1016,1,10,10400,
940229,NHFL-9.5%-3-4-27-NCD,F,STK,990.2,990.2,990.2,990.2,990.2,1003,1,10,9902,
940247,NHFL-10.50%-3-4-30-NCD,F,STK,1000,1008,1000,1006,1006,1010,7,2060,2060460,
940261,NHFL-11%-3-4-35-NCD,F,STK,999,1020,999,1019.98,1015,980,10,1002,1012614,
940303,IIFL-9.60%-21-4-30-NCD,F,STK,1010,1010,1005,1005,1005,996,2,56,56310,
940307,UCL-10%-24-10-26-NCD,F,STK,994.19,994.19,994.19,994.19,994.19,1000,1,1,994,
940311,UCL-10.15%-24-04-27-NCD,F,STK,991.06,1000,986.1,1000,1000,989,13,522,518830,
940319,SMCGSL-24-04-27-NCD,F,STK,1039.9,1039.9,1011,1030,1030,1010,7,84,86391,
940323,SMCGSL-24-04-28-NCD,F,STK,1012.5,1012.5,1012.5,1012.5,1012.5,1018.25,2,197,199462,
940325,SMCGSL-10.03%-24-04-30-NCD,F,STK,999.2,1000,999,1000,1000,999.98,5,362,361899,
940331,EFSL-30-04-27-NCD,F,STK,990,990,990,990,990,990,1,10,9900,
940347,EFSL-10.49%-30-04-35-NCD,F,STK,1040,1040,1040,1040,1040,1035,3,11,11440,
940355,MMFL-9.5%-12-5-27-NCD,F,STK,985,985,985,985,985,985,2,10,9850,
940361,MMFL-10.50%-12-5-30-NCD,F,STK,953.1,981,953.1,981,981,1025,2,13,12474,
940385,MFL-9%-19-5-27-NCD,F,STK,1000,1000,1000,1000,1000,1000,2,40,40000,
940389,MFL-9.45%-19-5-30-NCD,F,STK,990,990,990,990,990,998.98,1,24,23760,
940395,MFL-9.65%-19-5-28-NCD,F,STK,1000,1000,1000,1000,1000,995.6,1,10,10000,
940401,MFL-19-5-27-NCD,F,STK,1008.5,1008.5,1008.5,1008.5,1008.5,1008.5,1,150,151275,
940403,MFL-19-5-28-NCD,F,STK,839.8,1000,818.8,1000,1000,990,3,225,204450,
940411,CCIL-10.9%-19-6-27-NCD,F,STK,951.05,951.05,951.05,951.05,951.05,951.05,1,20,19021,
940415,CCIL-12%-19-6-30-NCD,F,STK,1005,1005,1004,1004,1004,1005,11,201,201955,
940425,NHFL-02-07-27-NCD,F,STK,965.2,965.2,965.2,965.2,965.2,979.8,1,10,9652,
940429,NHFL-10%-02-07-28-NCD,F,STK,994,994,990,990,990,994,2,6,5944,
940443,MFCL-8.85%-16-7-27-NCD,F,STK,985.5,985.5,980,985,985,985.5,7,117,115235,
940445,MFCL-9.05%-16-7-28-NCD,F,STK,985,985,979.5,985,985,985,16,956,941495,
940447,MFCL-9.30%-16-7-30-NCD,F,STK,999,999,999,999,999,985,1,20,19980,
940449,MFCL-9.40%-16-7-31-NCD,F,STK,995,995,995,995,995,990,3,660,656700,
940451,MFCL-9.20%-16-7-27-NCD,F,STK,981.5,991,981.5,991,991,1050,2,27,26595,
940465,MFCL-16-7-31-NCD,F,STK,957,969.8,957,969.8,969.8,957,3,58,55723,
940469,AEL-17-07-27-NCD,F,STK,1003,1004,1003,1003,1003,1007,8,26,26081,
940473,AEL-9.15%-17-07-28-NCD,F,STK,1009,1009,1009,1009,1009,1008.1,5,350,353150,
940477,AEL-9%-17-07-30-NCD,F,STK,1018.95,1018.95,1012,1012.02,1012,1011.28,4,203,206500,
940479,AEL-9.30%-17-07-30-NCD,F,STK,1007.9,1008,1007.05,1007.9,1007.9,1007.62,24,3637,3664428,
940483,KFL-23-1-27-NCD,F,STK,973,973,973,973,973,974,2,24,23352,
940491,EFSL-24-7-27-NCD,F,STK,951,951,951,951,951,1000,3,21,19971,
940493,KFL-10%-23-1-29-NCD,F,STK,980,980,980,980,980,1000,3,25,24500,
940501,EFSL-9.35%-24-7-28-NCD,F,STK,995,995,995,995,995,995,2,15,14925,
940511,EFSL-10.25%-24-7-30-NCD,F,STK,999,999,999,999,999,999,2,30,29970,
940515,EFSLD-10.25%-24-7-30-NCD,F,STK,980,980,960,967,967,980,5,194,187018,
940517,EFSL-10.03%-24-7-35-NCD,F,STK,1000,1000,1000,1000,1000,992,2,9,9000,
940519,EFSL-10.50%-24-7-35-NCD,F,STK,941.8,980,941.8,975,975,961,11,408,397958,
940521,EFSL-10.5%-24-7-35-NCD,F,STK,1000,1000,1000,1000,1000,0,1,19,19000,
940523,KAFL-9.5%-1-9-26-NCD,F,STK,960,968.75,956.5,960,960,955.12,18,638,612266,
940525,KAFL-27-11-26-NCD,F,STK,912,912,912,912,912,912,1,40,36480,
940537,KAFL-10.75%-27-7-30-NCD,F,STK,980,980,980,980,980,850.77,2,15,14700,
940543,MML-9.50%-4-9-26-NCD,F,STK,989,989,989,989,989,989,1,4,3956,
940551,MML-29-10-31-NCD,F,STK,999.6,999.6,980,980,980,980,7,59,58408,
940555,SCL-9.0%-01-08-27-NCD,F,STK,967.8,967.8,967.8,967.8,967.8,967.8,1,20,19356,
940559,SCL-8.65%-01-08-27-NCD,F,STK,887.1,965,887.1,960,960,975,8,130,123027,
940563,SCL-01-08-27-NCD,F,STK,950,958.83,950,958.83,958.83,945,2,20,19088,
940601,IFL-11.02%-20-9-26-NCD,F,STK,981,981,981,981,981,981,1,5,4905,
940607,IFL-12%-20-8-30-NCD,F,STK,998,998,998,998,998,1000,7,236,235528,
940609,IFL-20-9-26-NCD,F,STK,960,960,960,960,960,990,3,100,96000,
940613,IFL-20-8-28-NCD,F,STK,822.8,822.8,822.8,822.8,822.8,0,1,14,11519,
940619,IFL-20-6-31-NCD,F,STK,872.4,881,870,873,873,890.2,31,179,156364,
940621,SFL-9%-29-8-27-NCD,F,STK,1000,1000,1000,1000,1000,0,1,10,10000,
940625,SFL-9%-29-8-28-NCD,F,STK,1000,1000,1000,1000,1000,0,1,10,10000,
940629,SFL-10.25%-29-8-30-NCD,F,STK,1000,1000,1000,1000,1000,0,1,10,10000,
940631,SFL-29-8-30-NCD,F,STK,1000,1000,1000,1000,1000,0,3,12,12000,
940635,MMFL-9%-28-2-27-NCD,F,STK,990,995,980,990.03,990.03,0,8,103,101975,
940637,MMFL-9.25%-29-8-27-NCD,F,STK,1000,1000,1000,1000,1000,0,1,5,5000,
940639,MMFL-9.75%-29-8-28-NCD,F,STK,980,987,980,984.19,981.5,0,10,386,380079,
940641,MMFL-10.25%-29-8-30-NCD,F,STK,1002.1,1002.1,960,991.4,991.4,0,49,2950,2915457,
940643,MMFL-10.5%-29-8-30-NCD,F,STK,1000,1000,1000,1000,1000,0,2,10,10000,
957810,UPPCL-10.15%-20-1-28-PVT,F,STK,1035101,1035101,1035101,1035101,1035101,1032101.01,1,1,1035101,
958178,APCRDA-10.32%-16-8-26-PVT,F,STK,202500,202500,202500,202500,202500,200115,1,5,1012500,
961708,IIFCLBDIS4,F,STK,3140,3140,3140,3140,3140,3000,1,50,157000,
961714,PFCBS4,F,STK,15485,15800,15485,15800,15800,15485,7,55,867044,
961728,830NHAI27,F,STK,1115.7,1115.7,1113.5,1113.5,1113.5,1116,4,500,557198,
961732,810IRFC2327,F,STK,1111,1111,1111,1111,1111,1105.44,1,80,88880,
961767,719HUDCO28,F,STK,1063.24,1063.24,1063.24,1063.24,1063.24,1057.18,1,500,531620,
961773,704PFC2028,F,STK,1058,1058,1058,1058,1058,1058.5,1,500,529000,
961779,871REC28,F,STK,1153,1155,1150,1151.43,1152,1153,9,1232,1421473,
961810,891NTPC33,F,STK,1276.01,1276.01,1276.01,1276.01,1276.01,1274.07,1,1,1276,
961813,876HUDCO34,F,STK,1280,1280,1280,1280,1280,1280,2,200,256000,
961822,891IIFCL34,F,STK,1280,1280,1280,1280,1280,1280,1,19,24320,
961826,NHAI-8.75%-5-2-29-NCD,F,STK,1159,1159,1155.01,1155.01,1155.01,1158,10,1941,2242395,
961839,IREDA-8.80%-13-03-29-BOND,F,STK,1150,1150,1150,1150,1150,1145,1,1,1150,
961851,KPL-9%-25-3-29-TFBOND,F,STK,1143,1143,1143,1143,1143,1140,3,442,505206,
961875,REC-8.88%-24-3-29-TFBOND,F,STK,1160.01,1160.01,1160.01,1160.01,1160.01,1157.12,2,103,119481,
972721,IFCI-8.72%-V-31-3-27-C-PVT,F,STK,15000,15000,15000,15000,15000,15000,2,10,150000,
973027,TCAP-9.55%-PERP,F,STK,1065000,1065000,1065000,1065000,1065000,1080000,1,1,1065000,
973491,PFL-6.75%-26-9-31-PVT,F,STK,791.95,791.95,789,791.74,791.74,791.19,7,12411,9793943,
973876,UPC-9.70%-30-3-29-PVT,F,STK,1034959,1034959,1034959,1034959,1034959,1051100,1,1,1034959,
974634,EEL-ZC-26-2-27-PVT,F,STK,127000,127000,127000,127000,127000,127000,1,3,381000,
974635,EEL-ZC-03-4-26-PVT,F,STK,127055,127055,126000,127055,127055,127022,38,1114,141536105,
974643,UCL-10.50%-8-3-26-PVT,F,STK,96856.16,96856.16,96856.16,96856.16,96856.16,101500,1,1,96856,
974720,MFSL-10.75%-27-10-28-PVT,F,STK,99999,99999,99999,99999,99999,98784.93,1,1,99999,
974749,MECL-10.55%-3-4-33-PVT,F,STK,110450,110450,110450,110450,110450,110500,1,1,110450,
974946,GIPL-ZC-30-4-26-PVT,F,STK,90850,90850,90849,90849.28,90849,90000,2,18,1635287,
974999,EFCL-8-4-27-PVT,F,STK,118000,118000,118000,118000,118000,122950,2,9,1062000,
975000,EFCL-09-04-27-PVT,F,STK,100000,100000,100000,100000,100000,104700,5,15,1500000,
975012,ICFL-9.85%-7-8-26-PVT,F,STK,99337.65,99337.65,99337.65,99337.65,99337.65,99865.07,1,1,99337,
975032,OPGPL-10.75%-18-8-26-PVT,F,STK,96471.23,96471.23,96471.23,96471.23,96471.23,98000,1,1,96471,
975059,SSFL-10.75%-4-9-26-PVT,F,STK,97000,97000,97000,97000,97000,99000,1,1,97000,
975229,SML-14.20%-30-4-29-PVT,F,STK,101539.12,101600,101009,101009,101009,100300,3,3,304148,
975252,SSFL-10.11%-18-12-25-PVT,F,STK,100800,100800,100500,100500,100500,100955,2,3,302100,
975257,AFPL-9.90%18-12--26-PVT,F,STK,106494.21,106494.21,106494.21,106494.21,106494.21,99290,1,1,106494,
975306,HFLTD-10.50%-5-10-27-PVT,F,STK,100028.77,100028.77,100028.77,100028.77,100028.77,100201.37,1,3,300086,
975331,TCL-13.50%-18-1-27-PVT,F,STK,100601,100601,100601,100601,100601,100601,1,4,402404,
975335,SCNL-12.75%-19-7-29-PVT,F,STK,101000,101000,101000,101000,101000,102700,1,1,101000,
975369,IFSL-NIFTY50-3-4-26-PVT,F,STK,94005.01,94005.01,94005.01,94005.01,94005.01,109000,1,1,94005,
975375,SML-13.85%-12-7-29-PVT,F,STK,100475,100475,100475,100475,100475,100399.99,2,2,200950,
975532,ESPL-11.5%-6-10-25-PVT,F,STK,100085.65,100085.65,100085.65,100085.65,100085.65,100085.65,5,5,500428,
975562,SSFL-9.81%-2-4-26-PVT,F,STK,97002,98000,96003,97002,97002,99000,5,5,484262,
975848,SCL-9.75%-23-7-29-PVT,F,STK,94500,94500,94500,94500,94500,93600,2,2,189000,
975905,EEL-13-8-27-PVT,F,STK,108000,108000,108000,108000,108000,108000,3,20,2160000,
975926,ACAPL-12.5%-19-2-26-PVT,F,STK,9825.5,9825.5,9825.5,9825.5,9825.5,9825,1,1,9825,
975946,SML-10.40%-23-2-26-PVT,F,STK,98400,98400,97000,97001,97001,98400,6,6,586800,
976020,CIPL-ZC-17-3-28-PVT,F,STK,112000,112000,112000,112000,112000,111317,1,1,112000,
976085,KIIFB-9.49%-8-10-29-PVT,F,STK,101949,101949,101949,101949,101949,101387.5,2,2,203898,
976089,KIIFB-9.49%-8-10-33-PVT,F,STK,101500,101500,101500,101500,101500,101500,2,2,203000,
976146,MCSL-9.90%-29-10-26-PVT,F,STK,7400,7400,7400,7400,7400,7400,1,2,14800,
976228,MFL-10.45%-11-3-33-PVT,F,STK,10050,10050,10050,10050,10050,10003.77,1,50,502500,
976248,MSFL-ZC-18-12-26-PVT,F,STK,107400,107656,107400,107656,107656,107000,4,10,1075992,
976275,VCL-10.11%-23-12-26-PVT,F,STK,9912.21,9921.06,9912.21,9921.06,9921.06,9901,2,38,376672,
976292,KIIFB-9.4%-30-12-33-PVT,F,STK,100907.13,100907.13,100907.13,100907.13,100907.13,100854.92,8,20,2018142,
976293,KIIFB-9.4%-30-12-34-PVT,F,STK,101900,101900,101900,101900,101900,101800,1,3,305700,
976325,NFL-10.75%-31-12-27-PVT,F,STK,10000,10000,10000,10000,10000,10025,2,4,40000,
976389,MMFL-9.75%-6-2-27-PVT,F,STK,100000,100000,98200,98200,98200,108000,2,2,198200,
976411,ACAPL-12%-14-8-28-PVT,F,STK,93849.9,93849.9,93849.9,93849.9,93849.9,93850,5,12,1126198,
976423,IML-11%-18-8-26-PVT,F,STK,9559.9,9559.9,9559.9,9559.9,9559.9,9755,1,1,9559,
976437,NFL-10.60%-21-5-27-PVT,F,STK,9935.02,9985,9935.02,9950,9950,9943.78,16,39,388811,
976447,SHANK-12%-28-10-27-PTC,F,STK,1006.65,1006.65,1006.65,1006.65,1006.65,1011.17,1,57,57379,
976549,KIIFB-9.49%-25-03-29-PVT,F,STK,101300,101300,101300,101300,101300,101600,2,2,202600,
976552,KIIFB-9.49-25-03-32-PVT,F,STK,101722.4,101722.4,101722.4,101722.4,101722.4,101696.2,1,1,101722,
976554,KIIFB-9.49%-25-03-34-PVT,F,STK,101430.8,101430.8,101430.8,101430.8,101430.8,101250,1,1,101430,
976555,KIIFB-9.49%-25-03-35-PVT,F,STK,101516.6,101516.6,101516.6,101516.6,101516.6,100930,1,10,1015166,
976560,DCAL-10%-26-03-27-PVT,F,STK,100659.67,100702.14,100659.67,100702.14,100702.14,100306.89,2,6,604170,
976623,NFL-10.48%-01-06-26-PVT,F,STK,10062,10062,10062,10062,10062,9832.01,3,10,100620,
976660,ACAPL-9.85%-30-10-26-PVT,F,STK,9642,9642,9573.28,9573.28,9573.28,9611.43,4,13,124697,
976675,KSPL-10-.65%-06-11-26-PVT,F,STK,100400,100400,100400,100400,100400,99999.95,2,3,301200,
976727,MML-10.75%-27-5-27-PVT,F,STK,96850,96900,96850,96900,96900,96900,5,5,484300,
976737,LVAM25-12%-31-05-27-PTC,F,STK,5000,5980,5000,5980,5980,5000,2,3,15980,
976752,PDL-10%-3-6-27-PVT,F,STK,98774.73,98774.73,98774.73,98774.73,98774.73,98983,2,10,987747,
976767,VCL-9.86%-06-01-27-PVT,F,STK,9952.78,9952.78,9952.78,9952.78,9952.78,10164.64,1,1,9952,
976808,NFL-10.75%-19-8-28-PVT,F,STK,10052.99,10052.99,10025.6,10028.1,10025.6,10053,12,106,1065337,
976855,NFL-10%-25-03-27-PVT,F,STK,96900,96900,96900,96900,96900,94525,1,1,96900,
976857,HFL-10.25%-26-12-30-PVT,F,STK,100028.08,100028.08,100028.08,100028.08,100028.08,100000,1,3,300084,
976859,HFL-10%-26-2-29-PVT,F,STK,100027.4,100027.4,100027.4,100027.4,100027.4,100000,4,18,1800493,
976896,KFL-10.62%-09-07-27-PVT,F,STK,99830.22,99830.22,99830.22,99830.22,99830.22,99801.23,1,1,99830,
976941,IFSL-GOLD-MCX-19-1-29-PVT,F,STK,100000,100000,100000,100000,100000,100000,2,81,8100000,
