SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
100112,"STATE BANK OF INDIA",A,STK,807.35,823.65,807.35,807.8,807.35,815.5,3,6,4876,
500002,"ABB INDIA LIMITED",A,STK,5090.65,5090.65,5012.1,5022.05,5025,5101.35,2577,13409,67509292,
500003,"AEGIS LOGISTICS LTD.",A,STK,723.05,725.8,695,699.9,699.9,725.4,1583,22959,16239525,
500008,"Amara Raja Energy & Mobility L",A,STK,981.1,987.7,968.4,978.4,980,986.45,1371,21416,20973411,
500009,"AMBALAL SARABHAI ENTERPRISES L",X,STK,33.35,33.75,32.25,32.62,32.62,33.3,307,44657,1471700,
500012,"ANDHRA PETROCHEMICALS LTD.",X,STK,52.2,52.95,51.06,51.42,51.42,52.71,318,44578,2311397,
500013,"ANSAL PROPERTIES & INFRASTRUCT",Z,STK,5.35,5.35,5.31,5.31,5.31,5.41,9,2570,13718,
500014,"UTIQUE ENTERPRISES LIMITED",X,STK,5.55,5.64,5.27,5.46,5.42,5.4,76,10094,55083,
500016,"ARUNA HOTELS LTD.",X,STK,8.94,8.98,8.63,8.97,8.97,8.94,18,1395,12492,
500020,"BOMBAY DYEING & MFG.CO.LTD.",A,STK,181.3,181.3,172.6,173.55,173.55,181.05,1431,83465,14635423,
500023,"ASIAN HOTELS (NORTH) LIMITED",B,STK,336,338.7,325,325.25,325,337.5,71,1074,360472,
500027,"ATUL LTD.",A,STK,6520,6520,6243.1,6261.45,6267.5,6505.75,453,2375,14966381,
500028,"ATV PROJECTS INDIA LTD.",X,STK,38.88,38.88,37.2,37.97,37.99,37.88,371,109334,4152847,
500031,"BAJAJ ELECTRICALS LTD.",A,STK,583,586,571.35,573.3,571.35,589.65,280,2603,1502707,
500032,"BAJAJ HINDUSTHAN SUGAR LIMITED",A,STK,21.01,21.17,20.56,20.67,20.67,21.09,3016,610546,12681962,
500033,"FORCE MOTORS LTD.",A,STK,20200.05,20298.95,19574,19935.65,19935.65,20178.35,3833,9796,195512405,
500034,"BAJAJ FINANCE LIMITED",A,STK,901.6,901.6,873.3,876.5,876.5,900.5,19006,595684,525582473,
500038,"BALRAMPUR CHINI MILLS LTD.",A,STK,593.05,593.05,551,557.3,557.3,591.9,1764,22262,12648693,
500039,"BANCO PRODUCTS (INDIA) LTD.",A,STK,583.95,589,569.45,582.95,582.05,589.4,2507,46671,27154995,
500040,"ADITYA BIRLA REAL ESTATE LIMIT",A,STK,1821.05,1842.75,1778.95,1789.95,1796.95,1846.05,625,3919,7073490,
500042,"BASF INDIA LTD.",A,STK,4507.05,4568.6,4460,4477.8,4461,4595.15,650,1749,7893501,
500043,"BATA INDIA LTD.",A,STK,1097.95,1097.95,1060.05,1065.05,1068,1095.45,873,8080,8658027,
500048,"BEML LTD.",A,STK,4012.2,4012.2,3855.2,3864.55,3864.55,3993.2,1576,11056,43251095,
500049,"BHARAT ELECTRONICS LTD.",A,STK,372,372.05,364.45,365.85,365.85,372,9867,526640,193037929,
500052,"BHANSALI ENGINEERING POLYMERS",B,STK,106.85,106.9,105,105.1,105.1,106.8,415,21611,2288678,
500058,"BIHAR SPONGE IRON LTD.",XT,STK,13.53,14,13.53,13.57,14,14.07,54,9944,135182,
500059,"BIL VYAPAR LIMITED",T,STK,10.72,10.72,10.72,10.72,10.72,10.51,1,100,1072,
500060,"Birla Cable Limited",T,STK,159.65,160.45,158.05,160.15,160.45,159.65,8,651,103476,
