SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SGBJUN28,GB,10510,10630,10510,10587.91,10620,10500,148,1568998.42,28-Aug-2025,14,IN0020200104
SGBN28VIII,GB,10550,10998,10542,10663.22,10650,10530.65,516,5510082.58,28-Aug-2025,101,IN0020200286
SGBMAY29I,GB,10531,11005,10403.2,10601.1,10635,10522.77,906,9627230.88,28-Aug-2025,199,IN0020210053
SGBJUN29II,GB,10531,10673.97,10501.01,10625,10625,10531,117,1243236.98,28-Aug-2025,52,IN0020210061
SGBJU29III,GB,10812.72,10812.72,10411,10614.49,10610.01,10549,164,1742606.53,28-Aug-2025,59,IN0020210087
SGBSEP29VI,GB,10560,10825,10560,10796.13,10819.98,10556.2,415,4459860.94,28-Aug-2025,72,IN0020210145
SGBNV29VII,GB,10381.75,10799.99,10381.75,10733,10733,10647.95,280,2992850.73,28-Aug-2025,58,IN0020210178
SGBOCT25,GB,10478,10543,10478,10543,10543,10442.82,14,147213.40,28-Aug-2025,7,IN0020170059
SGBOCT25IV,GB,10497.01,10560,10460,10557.01,10560,10444.79,49,515953.49,28-Aug-2025,13,IN0020170067
SGBOCT25V,GB,10504.85,10504.85,10504.85,10504.85,10504.85,10440,1,10504.85,28-Aug-2025,1,IN0020170075
SGBNOV25VI,GB,10499,10499,10499,10499,10499,10418,1,10499.00,28-Aug-2025,1,IN0020170083
SGBDEC25,GB,10582.16,10582.16,10582.16,10582.16,10582.16,10320.01,3,31746.48,28-Aug-2025,1,IN0020170125
SGBDEC2512,GB,10549,10549,10549,10549,10549,10489.8,12,126588.00,28-Aug-2025,6,IN0020170141
SGBNOV258,GB,10499,10499,10499,10499,10499,10406.11,5,52495.00,28-Aug-2025,2,IN0020170109
SGBOCT26,GB,10622,10622,10622,10622,10622,10399,5,53110.00,28-Aug-2025,3,IN0020180249
SGBNOV26,GB,10800,10998.9,10800,10998.9,10998.9,10698.22,3,32598.90,28-Aug-2025,2,IN0020180314
SGBJUN27,GB,10477.04,10585,10477.04,10584.19,10585,10490,107,1128731.66,28-Aug-2025,19,IN0020190073
SGBJUL27,GB,10689,10689,10599,10599,10599,10695.14,5,53122.56,28-Aug-2025,5,IN0020190081
SGBAUG27,GB,10750,10929,10749,10811.63,10755,10883.13,116,1254630.52,28-Aug-2025,27,IN0020190107
SGBJAN27,GB,10500,10583,10500,10582.25,10583,10500,21,221275.28,28-Aug-2025,6,IN0020180462
SGBOCT27,GB,10531,10659,10531,10659,10659,10699.95,5,52919.00,28-Aug-2025,3,IN0020190370
SGBOCT27VI,GB,10531,10620,10531,10620,10620,10391,92,972590.00,28-Aug-2025,5,IN0020190388
SGBDC27VII,GB,10600,10830,10600,10806,10830,10521.6,8,86243.00,28-Aug-2025,5,IN0020190461
SGBAPR28I,GB,10789,10805,10700,10751.44,10736,10790,195,2096215.79,28-Aug-2025,48,IN0020200062
