SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
100112,"STATE BANK OF INDIA",A,STK,810,810,810,802.05,810,807.8,1,1,810,
132822,"VODAFONE IDEA  LIMITED",A,STK,6.6,6.6,6.6,6.58,6.6,6.71,1,8,52,
500002,"ABB INDIA LIMITED",A,STK,5010.2,5027.25,4953.15,5001.05,5001.05,5022.05,2577,11147,55641999,
500003,"AEGIS LOGISTICS LTD.",A,STK,699.9,703.3,690.05,694.5,695.65,699.9,1004,16793,11698849,
500008,"Amara Raja Energy & Mobility L",A,STK,956.5,972.55,956.5,968.75,968.75,978.4,6489,121116,117161716,
500009,"AMBALAL SARABHAI ENTERPRISES L",X,STK,32.62,32.63,31.25,31.64,31.6,32.62,326,47261,1500225,
500012,"ANDHRA PETROCHEMICALS LTD.",X,STK,50.15,51.4,49.06,49.88,49.88,51.42,398,60127,3031453,
500013,"ANSAL PROPERTIES & INFRASTRUCT",Z,STK,5.31,5.31,5.21,5.23,5.23,5.31,20,11447,60169,
500014,"UTIQUE ENTERPRISES LIMITED",X,STK,5.69,5.69,5.08,5.45,5.47,5.46,96,9918,53758,
500016,"ARUNA HOTELS LTD.",X,STK,8.97,9.44,8.76,9.01,9.01,8.97,30,8833,80229,
500020,"BOMBAY DYEING & MFG.CO.LTD.",A,STK,172.45,176.5,171.3,173.35,172.8,173.55,1228,75336,13095959,
500023,"ASIAN HOTELS (NORTH) LIMITED",B,STK,310,337,310,324.4,324.4,325.25,52,1593,517791,
500027,"ATUL LTD.",A,STK,6225.2,6352,6225.2,6305.95,6283.5,6261.45,325,1082,6823861,
500028,"ATV PROJECTS INDIA LTD.",X,STK,38.7,40.5,37.16,38.12,38.2,37.97,194,54097,2086851,
500031,"BAJAJ ELECTRICALS LTD.",A,STK,571.35,576.05,565.3,573.15,571.95,573.3,148,866,495161,
