SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SGBJUN28,GB,10448.01,10500,10426.2,10500,10500,10447.99,577,6052009.90,26-Aug-2025,23,IN0020200104
SGBN28VIII,GB,10435,10548,10435,10530.65,10535,10424.36,124,1302855.77,26-Aug-2025,51,IN0020200286
SGBMAY29I,GB,10388.2,10612,10388.2,10522.77,10514,10450.49,256,2691035.20,26-Aug-2025,63,IN0020210053
SGBJUN29II,GB,10480,10585,10426,10531,10585,10427.5,117,1227963.00,26-Aug-2025,27,IN0020210061
SGBJU29III,GB,10336.58,10549,10336.58,10549,10549,10436.58,88,923786.00,26-Aug-2025,36,IN0020210087
SGBSEP29VI,GB,10500.01,10595,10500.01,10556.2,10556.01,10549.99,106,1120336.43,26-Aug-2025,30,IN0020210145
SGBNV29VII,GB,10510,10647.99,10510,10647.95,10647.95,10581.33,187,1974650.42,26-Aug-2025,31,IN0020210178
SGBOCT25,GB,10390.86,10442.82,10390.86,10442.82,10442.82,10200,12,124846.23,26-Aug-2025,4,IN0020170059
SGBOCT25IV,GB,10390,10459.8,10390,10444.79,10459.8,10386.24,46,479752.70,26-Aug-2025,10,IN0020170067
SGBOCT25V,GB,10388.99,10440,10380.99,10440,10440,10387.66,13,135094.89,26-Aug-2025,8,IN0020170075
SGBNOV25VI,GB,10325,10418,10325,10418,10418,10325,2,20743.00,26-Aug-2025,2,IN0020170083
SGBDEC25,GB,10500,10500,10320.01,10320.01,10320.01,10401.75,7,72861.78,26-Aug-2025,5,IN0020170125
SGBDEC2512,GB,10405.02,10499,10405.02,10489.8,10475,10302,18,187719.16,26-Aug-2025,5,IN0020170141
SGBNOV258,GB,10352.49,10440.6,10352.49,10406.11,10403.74,10302.04,28,291218.12,26-Aug-2025,6,IN0020170109
SGBDEC2513,GB,10403,10507.28,10403,10507.28,10507.28,10300,14,146423.97,26-Aug-2025,3,IN0020170158
SGBMAY26,GB,10389,10490,10389,10490,10490,10389,11,114813.97,26-Aug-2025,5,IN0020180033
SGBOCT26,GB,10399,10399,10399,10399,10399,10336.06,5,51995.00,26-Aug-2025,1,IN0020180249
SGBNOV26,GB,10352.24,10698.22,10352.24,10698.22,10698.22,10350,17,179690.68,26-Aug-2025,10,IN0020180314
SGBJAN26,GB,10438,10438,10438,10438,10438,10388,7,73066.00,26-Aug-2025,2,IN0020170166
SGBJUN27,GB,10399,10490,10399,10490,10490,10499,48,501737.00,26-Aug-2025,8,IN0020190073
SGBJUL27,GB,10500,10695.14,10488,10695.14,10695.14,10345,26,274608.17,26-Aug-2025,14,IN0020190081
SGBAUG27,GB,10601.1,10990,10600,10883.13,10890,10815.96,366,3939255.00,26-Aug-2025,59,IN0020190107
SGBSEP27,GB,10546.8,10705.78,10411.02,10411.02,10411.02,10340,31,327881.52,26-Aug-2025,12,IN0020190115
SGBJAN27,GB,10410,10500,10410,10500,10500,10400,8,83820.00,26-Aug-2025,4,IN0020180462
SGBOCT27,GB,10596.04,10749.99,10596.04,10699.95,10699.95,10543.33,15,160492.80,26-Aug-2025,7,IN0020190370
SGBOCT27VI,GB,10499.98,10499.98,10391,10391,10391,10499.98,2,20890.98,26-Aug-2025,2,IN0020190388
SGBDC27VII,GB,10442,10600,10442,10521.6,10502,10441.1,17,178078.00,26-Aug-2025,5,IN0020190461
SGBAPR28I,GB,10745.91,11000,10700,10790,10790,10745.91,148,1595420.64,26-Aug-2025,26,IN0020200062
SGBMAY28,GB,10450,10570,10435.02,10500,10500,10429.16,445,4672884.44,26-Aug-2025,25,IN0020200088
SGBJUL28IV,GB,10366,10500,10366,10489.65,10490,10420.09,605,6340384.22,26-Aug-2025,64,IN0020200146
SGBFEB28IX,GB,10650,10650,10649.99,10649.99,10649.99,10500,11,117149.90,26-Aug-2025,3,IN0020190545
