SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SGBMAR31IV,GB,12180,12198.88,12056.03,12152.74,12198.88,11918,208,2519851.93,02-Sep-2025,51,IN0020220169
SGBFEB32IV,GB,12736,13020,12596.98,12888.03,12600,12596.98,2087,26967504.74,02-Sep-2025,519,IN0020230184
20MICRONS,EQ,233.13,237,231.31,232.56,232,231.98,57705,13498086.88,02-Sep-2025,2084,INE144J01027
21STCENMGM,EQ,53.3,53.3,51.7,53.22,53.2,52.26,3152,167406.42,02-Sep-2025,86,INE253B01015
360ONE,EQ,1034,1047,1020.4,1024.8,1025.9,1030.8,714095,740083744.90,02-Sep-2025,32544,INE466L01038
GOLD360,EQ,104.8,104.8,102.85,103.4,102.85,102.85,6674,690345.15,02-Sep-2025,111,INF579M01BB5
SILVER360,EQ,122.58,124.5,121.1,122.21,121.76,122.58,66098,8114329.93,02-Sep-2025,322,INF579M01BC3
3IINFOLTD,EQ,22.79,23.85,22.78,23.4,23.35,22.71,265927,6246553.12,02-Sep-2025,1985,INE748C01038
3MINDIA,EQ,31315,31590,30930,31090,31140,31295,3206,100356010.00,02-Sep-2025,1824,INE470A01017
3PLAND,EQ,46.22,46.22,44.51,45.07,44.81,45.32,9833,443111.27,02-Sep-2025,270,INE105C01023
5PAISA,EQ,356.5,367,356.5,362.3,360.45,359.75,13386,4864917.80,02-Sep-2025,1317,INE618L01018
63MOONS,EQ,915.1,938.9,910.85,924.3,925,914.2,96851,89705364.50,02-Sep-2025,7982,INE111B01023
734IRFC28,N4,1100.1,1103.01,1100.1,1103,1103.01,1100,2350,2589150.95,02-Sep-2025,4,INE053F07579
751HUDCO28,N5,1082,1088.99,1082,1083,1083,1082,395,428280.81,02-Sep-2025,6,INE031A07865
764NABAR31,N2,1128.5,1128.5,1128.5,1128.5,1128.5,1123.1,60,67710.00,02-Sep-2025,3,INE261F07032
764HUDCO31,N8,1144.6,1144.6,1141,1141,1141,1134.9,75,85791.50,02-Sep-2025,5,INE031A07AO5
769HUDCO31,N9,1143,1147.9,1143,1143.47,1147.9,1143,105,120064.50,02-Sep-2025,3,INE031A07AT4
774IREDA31,N7,1155,1155,1149,1149,1149,1146.89,120,138230.00,02-Sep-2025,3,INE202E07229
812REC27,NI,1055,1058,1055,1058,1058,1046.25,100,105662.00,02-Sep-2025,2,INE020B07GH7
82HUDCO27,N2,1084,1084,1075,1075,1075,1079.9,1011,1088684.69,02-Sep-2025,10,INE031A07840
830PFCL27,N5,1107,1107,1107,1107,1107,1106.25,3270,3619890.00,02-Sep-2025,4,INE134E07208
866IIFC34B,N3,1425,1425,1425,1425,1425,1425,150,213750.00,02-Sep-2025,1,INE787H07347
866NTPC33,N3,1266.1,1266.1,1266.1,1266.1,1266.1,1294.1,633,801441.30,02-Sep-2025,1,INE733E07JG5
875NHAI29,N6,1157,1160,1155.01,1155.21,1155.21,1155.01,568,657127.60,02-Sep-2025,10,INE906B07DF8
876HUDCO28,ND,1164.99,1164.99,1163.89,1163.89,1163.89,1161,206,239788.84,02-Sep-2025,3,INE031A07949
891IIFCL34,N4,1285,1285,1279,1279,1279,1281,316,405969.00,02-Sep-2025,3,INE787H07370
892NHPC33,N6,1279,1299.9,1245.45,1245.45,1245.45,1279,312,389009.45,02-Sep-2025,5,INE848E07567
892PFCL33,N8,1288,1291.9,1288,1288.6,1288.6,1287.01,30,38685.00,02-Sep-2025,3,INE134E07463
9MMFSML,N2,1024,1024,1024,1024,1024,1028,1,1024.00,02-Sep-2025,1,INE774D08MA6
901HUDCO34,NE,1303,1304,1303,1304,1304,1304.9,300,391199.00,02-Sep-2025,6,INE031A07AB2
ABCOTS,SM,410,410,390,408.3,408.9,392.2,15000,6071525.00,02-Sep-2025,21,INE08PH01015
ABINFRA,BE,194.99,204.54,186.22,201.71,203,194.8,82432,16475247.74,02-Sep-2025,1273,INE00YB01017
AGUL,SM,59,59,59,59,59,57,2000,118000.00,02-Sep-2025,1,INE0O6N01012
A2ZINFRA,BE,19.95,21.03,19.7,20.9,21.02,20.03,624766,12980793.97,02-Sep-2025,702,INE619I01012
AAATECH,EQ,80,80,78.86,79.3,79.3,78.78,37062,2949310.51,02-Sep-2025,802,INE0D0U01013
AADHARHFC,EQ,507.4,515.95,501.8,507.9,509.5,501.85,437605,223321575.50,02-Sep-2025,17157,INE883F01010
AAKAAR,SM,91,96,91,93.25,92.5,90.25,57600,5412480.00,02-Sep-2025,32,INE1GYP01013
AAKASH,BE,10.45,10.55,10.2,10.36,10.31,10.35,64780,671383.02,02-Sep-2025,322,INE087Z01024
AARADHYA,SM,117,118,115.5,117,117,116.25,10800,1261560.00,02-Sep-2025,9,INE124401014
AAREYDRUGS,BE,66,66.31,65.65,66.31,66.31,63.16,15886,1052377.25,02-Sep-2025,95,INE198H01019
AARON,EQ,210.04,216.34,210.01,213.76,213,211.33,20672,4405255.84,02-Sep-2025,1165,INE721Z01010
AARTECH,EQ,61.49,63.59,61,61.86,62,60.57,72472,4550997.94,02-Sep-2025,826,INE01C001026
AARTIDRUGS,EQ,474.4,482.95,465.05,469.55,469,473.45,150752,71268533.10,02-Sep-2025,9236,INE767A01016
AARTIIND,EQ,378.55,385.9,377.5,383.05,382.1,377.6,449899,172037737.70,02-Sep-2025,13520,INE769A01020
AARTIPHARM,EQ,869.7,876.9,861.85,870.2,865.5,860.7,187928,163893280.40,02-Sep-2025,15378,INE0LRU01027
AARTISURF,BE,460.1,474,456,469.55,474,455.4,3985,1860710.65,02-Sep-2025,118,INE09EO01013
AARTISURF,P1,172,172,171,171,171,167.9,31,5331.00,02-Sep-2025,2,INE09EO04017
AARVEEDEN,BE,189.8,189.8,177.06,180.1,178.89,184.93,22817,4114383.81,02-Sep-2025,226,INE273D01019
AARVI,EQ,131.52,133.7,122,122.89,123.25,131.52,74837,9554135.92,02-Sep-2025,2627,INE754X01016
AATMAJ,SM,20.85,20.85,19.4,19.4,19.4,19.1,10000,197100.00,02-Sep-2025,5,INE0OB201016
AAVAS,EQ,1534.4,1539,1519.1,1528.3,1524,1527.9,488207,744450866.20,02-Sep-2025,39832,INE216P01012
ABAN,EQ,45.51,47.33,45.41,46.19,46.69,45.47,57203,2660618.65,02-Sep-2025,1369,INE421A01028
AFSL,EQ,213.8,224.7,210.5,218.14,222,210.85,78522,17174436.12,02-Sep-2025,7091,INE00ZE01026
ABB,EQ,5127.4,5174.5,5097,5148.2,5150,5127.4,306762,1579452525.80,02-Sep-2025,28769,INE117A01022
ABBOTINDIA,EQ,32300,32700,32025,32495,32595,32130,6945,224534625.00,02-Sep-2025,3182,INE358A01014
ABHAPOWER,ST,47.9,48.8,45.85,46.05,46.05,47.9,14400,672240.00,02-Sep-2025,9,INE0UYG01015
AILIMITED,SM,42.95,45,42.95,45,45,42.95,6000,266925.00,02-Sep-2025,4,INE0CAJ01017
ABMINTLLTD,BE,42.74,43.78,41.7,43.78,43.78,41.7,295,12498.06,02-Sep-2025,7,INE251C01025
ABSMARINE,SM,191,191,180.35,181.2,181,189.6,85000,15679325.00,02-Sep-2025,151,INE0QRV01016
ACC,EQ,1820,1836.8,1813,1822,1815,1818.4,130789,238930011.50,02-Sep-2025,9627,INE012A01025
ACCELYA,EQ,1425,1430,1399.1,1406.4,1403.3,1407.4,10808,15217691.00,02-Sep-2025,1691,INE793A01012
ACCENTMIC,ST,285,285,278.5,283.15,283.15,286.65,32000,9024200.00,02-Sep-2025,45,INE0Q5D01013
ACCPL,SM,60.25,65.4,60.25,65.4,65.4,60.25,20400,1267740.00,02-Sep-2025,14,INE0T8T01010
ACCURACY,EQ,6.94,7.05,6.9,6.91,6.96,6.94,138248,961057.37,02-Sep-2025,553,INE648Z01023
ACEINTEG,EQ,23.8,24.4,23.6,23.89,23.9,23.76,928,22124.58,02-Sep-2025,50,INE543V01017
