SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SGBJUN28,GB,10550,10785,10550,10785,10785,10587.91,154,1650911.88,29-Aug-2025,29,IN0020200104
SGBN28VIII,GB,10876.5,10958.99,10750,10871.19,10852,10663.22,302,3281052.49,29-Aug-2025,83,IN0020200286
SGBMAY29I,GB,10601.1,10899,10601.1,10855.93,10875,10601.1,1622,17475032.87,29-Aug-2025,191,IN0020210053
SGBJUN29II,GB,10692,10900,10692,10858.31,10866,10625,155,1674745.59,29-Aug-2025,42,IN0020210061
SGBJU29III,GB,10750,10950,10626,10920.25,10950,10614.49,123,1324668.89,29-Aug-2025,42,IN0020210087
SGBSEP29VI,GB,11012.05,11085,10807,10919.24,10949.9,10796.13,498,5465024.88,29-Aug-2025,83,IN0020210145
SGBNV29VII,GB,10750,10980,10750,10909.38,10950,10733,383,4175247.90,29-Aug-2025,62,IN0020210178
SGBOCT25,GB,10544,10899,10215,10215,10215,10543,7,73886.00,29-Aug-2025,5,IN0020170059
SGBOCT25IV,GB,10998,10998,10949,10949,10949,10557.01,50,549692.00,29-Aug-2025,14,IN0020170067
SGBOCT25V,GB,10899,10899,10754,10754,10754,10504.85,58,631417.00,29-Aug-2025,6,IN0020170075
SGBNOV25VI,GB,10593.2,10710,10593.2,10710,10710,10499,2,21303.20,29-Aug-2025,2,IN0020170083
SGBNOV25,GB,10593.2,10645,10593.2,10645,10645,10348.72,8,84849.20,29-Aug-2025,2,IN0020170091
SGBDEC25,GB,10593.2,10726,10500,10726,10726,10582.16,18,190713.19,29-Aug-2025,7,IN0020170125
SGBDEC2512,GB,10899,10899,10899,10899,10899,10549,1,10899.00,29-Aug-2025,1,IN0020170141
SGBNOV258,GB,10593.2,10760,10500,10760,10760,10499,38,403799.68,29-Aug-2025,9,IN0020170109
SGBDEC2513,GB,10770,10770,10770,10770,10770,10507.28,7,75390.00,29-Aug-2025,4,IN0020170158
SGBMAY26,GB,10998.77,10998.79,10990,10990,10990,10490,21,230886.69,29-Aug-2025,8,IN0020180033
SGBNOV26,GB,10997,11222,10654.01,10654.01,10654.01,10998.9,7,77539.01,29-Aug-2025,5,IN0020180314
SGBDEC26,GB,10790,10799,10754,10754,10754,10500,11,118381.00,29-Aug-2025,4,IN0020180389
SGBJUN27,GB,10661.19,10750,10661.19,10750,10750,10584.19,12,128477.59,29-Aug-2025,7,IN0020190073
SGBAUG27,GB,10990,11870,10990,11380.98,11500,10811.63,75,848989.16,29-Aug-2025,28,IN0020190107
SGBSEP27,GB,10798.99,10900,10798.99,10900,10900,10411.02,21,226879.95,29-Aug-2025,5,IN0020190115
SGBJAN27,GB,10800,10840,10720,10840,10840,10582.25,21,225900.00,29-Aug-2025,5,IN0020180462
SGBOCT27,GB,10679,10898.99,10679,10898.99,10898.99,10659,28,302291.83,29-Aug-2025,14,IN0020190370
SGBFEB27,GB,10799.99,10799.99,10799.99,10799.99,10799.99,10508.05,4,43199.96,29-Aug-2025,2,IN0020180561
SGBOCT27VI,GB,10620,11150,10620,10790,10790,10620,36,395666.00,29-Aug-2025,8,IN0020190388
SGBDC27VII,GB,10800,10900,10800,10860,10860,10806,44,477825.00,29-Aug-2025,9,IN0020190461
SGBAPR28I,GB,10762,11069,10762,10968.11,11069,10751.44,226,2457684.50,29-Aug-2025,58,IN0020200062
SGBMAY28,GB,10615,10848.5,10615,10799,10799,10600.15,159,1709651.83,29-Aug-2025,27,IN0020200088
SGBJUL28IV,GB,10606.97,10839.99,10606.97,10806.78,10810,10606.97,513,5493222.63,29-Aug-2025,69,IN0020200146
SGBFEB28IX,GB,10990,10990,10650.01,10756.51,10756.51,10650,41,444403.04,29-Aug-2025,9,IN0020190545
SGBAUG28V,GB,10685,10860,10650,10845.39,10860,10596.29,2647,28383914.68,29-Aug-2025,304,IN0020200161
SGBSEP28VI,GB,10635.04,10870,10635.04,10864.04,10865,10688.48,263,2833687.32,29-Aug-2025,56,IN0020200195
SGBOC28VII,GB,10705,10865,10705,10865,10865,10648.75,340,3659054.61,29-Aug-2025,43,IN0020200203
SGBMAR28X,GB,10626.03,10997.99,10626.03,10890.19,10900,10699.98,232,2503500.78,29-Aug-2025,19,IN0020190552
SGBJUL29IV,GB,10800.9,10900.9,10750,10896.2,10900.9,10631,250,2697992.74,29-Aug-2025,66,IN0020210111
SGBJAN29IX,GB,10644,10850,10644,10849.55,10850,10591,511,5491272.26,29-Aug-2025,91,IN0020200377
