SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SGBJUN28,GB,10999,11199,10999,11087.63,11100,10785,422,4672825.03,01-Sep-2025,43,IN0020200104
SGBN28VIII,GB,11000,11449.99,10850,11140.33,11175,10871.19,441,4937338.76,01-Sep-2025,116,IN0020200286
SGBMAY29I,GB,11073.05,11150,10910,11102.33,11100,10855.93,1021,11316145.61,01-Sep-2025,189,IN0020210053
SGBJUN29II,GB,10900,11205,10900,11178.64,11143,10858.31,123,1371329.95,01-Sep-2025,40,IN0020210061
SGBJU29III,GB,10920.25,11875,10865,11220.75,11221.5,10920.25,539,5997133.74,01-Sep-2025,86,IN0020210087
SGBSEP29VI,GB,10950,11349,10950,11200,11200,10919.24,457,5111729.56,01-Sep-2025,80,IN0020210145
SGBNV29VII,GB,10909,11230,10909,11187.84,11189.99,10909.38,439,4896896.88,01-Sep-2025,70,IN0020210178
SGBOCT25,GB,10950,11127.99,10900,11127.99,11127.99,10215,18,196677.99,01-Sep-2025,5,IN0020170059
SGBOCT25IV,GB,11003.74,11198.96,11000,11198.96,11198.96,10949,44,484378.40,01-Sep-2025,9,IN0020170067
SGBOCT25V,GB,10754,10954.5,10754,10954.5,10954.5,10754,9,98117.50,01-Sep-2025,4,IN0020170075
SGBNOV25VI,GB,11070,11070,11070,11070,11070,10710,1,11070.00,01-Sep-2025,1,IN0020170083
SGBNOV25,GB,11000,11097,11000,11097,11097,10645,5,55221.14,01-Sep-2025,3,IN0020170091
SGBDEC25,GB,11480,11480,11480,11480,11480,10726,2,22960.00,01-Sep-2025,2,IN0020170125
SGBDEC2512,GB,11000,11231,11000,11190,11190,10899,13,144370.95,01-Sep-2025,5,IN0020170141
SGBNOV258,GB,10971.46,10971.46,10971.46,10971.46,10971.46,10760,8,87771.68,01-Sep-2025,4,IN0020170109
SGBDEC2513,GB,10854,11092.79,10854,11092.79,11092.79,10770,5,54747.58,01-Sep-2025,4,IN0020170158
SGBMAY26,GB,11150,11397.99,11150,11397.99,11397.99,10990,19,214081.91,01-Sep-2025,8,IN0020180033
SGBOCT26,GB,11135,11135,11100,11100,11100,10622,2,22235.00,01-Sep-2025,2,IN0020180249
SGBNOV26,GB,11133.44,11699,11133.44,11300,11300,10654.01,9,103528.44,01-Sep-2025,4,IN0020180314
SGBDEC26,GB,11825,11825,11111,11825,11825,10754,20,233511.00,01-Sep-2025,8,IN0020180389
SGBJUN27,GB,10812.73,11140.93,10812.73,11135,11135,10750,33,365565.75,01-Sep-2025,14,IN0020190073
SGBJUL27,GB,10950.01,10950.01,10950.01,10950.01,10950.01,10599,4,43800.04,01-Sep-2025,1,IN0020190081
SGBAUG27,GB,12290,12290,11500,11500,11500,11380.98,126,1483685.75,01-Sep-2025,51,IN0020190107
SGBSEP27,GB,11026.33,11150,11015,11149.99,11149.98,10900,109,1204537.85,01-Sep-2025,18,IN0020190115
SGBJAN27,GB,11050,11100,11050,11100,11100,10840,15,166450.00,01-Sep-2025,6,IN0020180462
SGBOCT27,GB,10999.48,11159,10700,11108,11108,10898.99,49,535470.80,01-Sep-2025,12,IN0020190370
SGBFEB27,GB,10900,11128,10900,11128,11128,10799.99,2,22028.00,01-Sep-2025,2,IN0020180561
SGBOCT27VI,GB,11051,11099.95,11001,11001,11001,10790,62,685253.80,01-Sep-2025,10,IN0020190388
SGBDC27VII,GB,11333,11333,11099,11107.55,11099,10860,169,1887722.74,01-Sep-2025,36,IN0020190461
SGBAPR28I,GB,10968.11,11600,10968.11,11483.26,11350,10968.11,216,2446550.51,01-Sep-2025,75,IN0020200062
SGBMAY28,GB,10799,11149.98,10799,11118.85,11118.85,10799,150,1657555.58,01-Sep-2025,54,IN0020200088
SGBJUL28IV,GB,10866.52,11089.99,10810,11026.77,11040,10806.78,1169,12903003.21,01-Sep-2025,123,IN0020200146
SGBFEB28IX,GB,10999,11056,10800.01,11001,11001,10756.51,12,131060.05,01-Sep-2025,5,IN0020190545
SGBAUG28V,GB,11050,11187.95,10850.03,11106.1,11140,10845.39,2226,24653301.59,01-Sep-2025,319,IN0020200161
SGBSEP28VI,GB,10866.01,11160,10864.04,11139.08,11110,10864.04,770,8542329.08,01-Sep-2025,109,IN0020200195
SGBOC28VII,GB,10900,11200,10900,11100,11100.01,10865,330,3666197.16,01-Sep-2025,42,IN0020200203
SGBJ28VIII,GB,11047,11180,11020,11099.99,11099.99,10402.2,187,2066346.46,01-Sep-2025,14,IN0020190537
SGBMAR28X,GB,10901,11199.99,10901,11011,11011,10890.19,72,797070.31,01-Sep-2025,15,IN0020190552
SGBJUL29IV,GB,10896.28,11223.15,10896.2,11086.95,11099.99,10896.2,573,6342136.07,01-Sep-2025,70,IN0020210111
SGBJAN29IX,GB,10849.55,11130,10849.55,11114,11125,10849.55,384,4252066.69,01-Sep-2025,145,IN0020200377
SGBAUG29V,GB,11100,11490,11100,11387.75,11387.98,10952.54,482,5468314.95,01-Sep-2025,124,IN0020210129
SGBD29VIII,GB,11149.99,11349,11134.03,11154.88,11160,11134.02,557,6227258.42,01-Sep-2025,91,IN0020210228
SGBJAN29X,GB,10960,11199.98,10960,11051,11051,10825.21,169,1879854.81,01-Sep-2025,35,IN0020200385
