SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
519477,"CIAN Agro Ind & Infra Ltd",T,STK,895.2,895.2,895.2,895.2,895.2,852.6,216,36700,32853840,
519479,"OMEGA AG-SEEDS (PUNJAB) LTD.",XT,STK,14.32,14.55,14.32,14.55,14.55,14.04,16,3990,58031,
519483,"TAI INDUSTRIES LTD.",X,STK,36.49,36.49,36.45,36.45,36.45,36.01,3,52,1896,
519500,"BKV INDUSTRIES LTD.",X,STK,9.75,10.74,9.75,10.13,10.16,9.54,38,4982,50628,
519506,"NCC BLUE WATER PRODUCTS LTD.",P,STK,23.65,23.65,22.47,22.47,22.47,23.65,3,1100,24835,
519532,"ASIAN TEA & EXPORTS LTD.",X,STK,11.99,11.99,11.4,11.59,11.59,11.64,22,934,10958,
519552,"HERITAGE FOODS LIMITED",A,STK,505.05,508,474.2,479.3,478.45,490.6,2973,87244,43243147,
519566,"SIMRAN FARMS LTD.",X,STK,162.4,163,160.3,160.35,160.35,162.4,9,224,36263,
519574,"HINDUSTAN AGRIGENETICS LTD.",X,STK,67.83,68.5,65,67.36,67.4,67.5,19,1612,107030,
519600,"CCL PRODUCTS (INDIA) LTD.",A,STK,937.55,940.45,920.25,924.55,926,931.8,378,4183,3896956,
519602,"KELLTON TECH SOLUTIONS LTD.",B,STK,25.69,26.11,25.31,25.38,25.56,25.63,1075,310523,7941633,
519604,"SURYO FOODS & INDUSTRIES LTD.",XT,STK,21.8,21.8,19.76,19.85,19.85,20.8,12,301,6337,
519612,"LAKE SHORE REALTY LIMITED",XT,STK,90,94.55,88.5,94.55,94.55,90.05,36,3269,306907,
520008,"RICO AUTO INDUSTRIES LTD.",B,STK,101.68,103.22,98.5,100.19,99.93,99.69,2318,275365,27791156,
520021,"OMAX AUTOS LTD.",T,STK,147,150.9,145.05,148.5,149.5,147,55,4633,681746,
520043,"MUNJAL SHOWA LTD.",B,STK,142.4,142.85,137.5,138.3,137.5,139.95,126,1715,239213,
520051,"JAMNA AUTO INDUSTRIES LTD.",B,STK,109.9,111.25,104.95,106.2,106.6,108.8,2001,217191,23271089,
520056,"TVS Holdings Limited",A,STK,12442.1,12442.1,11927.9,12216,12200,12174.25,306,592,7224136,
520057,"JTEKT India Ltd",B,STK,144.05,144.4,139.65,143.5,142,142.4,1004,42580,6065779,
520059,"MUNJAL AUTO INDUSTRIES LTD.",B,STK,90.41,93.62,87.97,88.33,88.33,89.57,1023,72384,6600243,
520066,"JAY BHARAT MARUTI LTD.",T,STK,99.9,102.31,96.5,102.31,102.31,97.44,561,125577,12793485,
520073,"RACL Geartech Limited",B,STK,964.05,964.05,937.85,941.75,941.4,943.5,178,898,848623,
520075,"SAMKRG PISTONS & RINGS LTD.",X,STK,130.5,132.45,129.7,129.85,129.7,130.5,31,1114,145794,
520086,"SICAL LOGISTICS LTD.",T,STK,91.34,93,91.34,92.15,92,96.09,13,597,55101,
520111,"RATNAMANI METALS & TUBES LTD.",A,STK,2450.95,2450.95,2402.5,2414.25,2417,2402.5,144,704,1700520,
520113,"VESUVIUS INDIA LTD.",A,STK,520.65,522.95,512.9,518.75,520.4,519.8,389,1896,982880,
520119,"AUTOMOTIVE STAMPINGS & ASSEMBL",B,STK,496,496,480,483.3,480,492.45,142,1161,564964,
520121,"ARCEE INDUSTRIES LTD.",X,STK,5.77,5.77,5.77,5.77,5.77,5.5,1,1,5,
520123,"ABC INDIA LTD.",X,STK,87,88.91,85,88.91,88.91,88.91,15,279,24752,
520127,"BALURGHAT TECHNOLOGIES LTD.",X,STK,17,17.7,17,17.17,17.17,16.55,33,2932,50860,
520131,"COASTAL ROADWAYS LTD.",P,STK,37.5,39.37,37.5,39.37,39.37,37.5,4,500,19486,
520141,"SIBAR AUTO PARTS LTD.",X,STK,10.5,10.5,9.5,9.62,9.53,9.85,43,10422,104403,
520151,"TRANSWORLD SHIPPING LINES LIMI",B,STK,240.75,260.25,240.75,249.65,254.15,257.8,86,485,122194,
520155,"Starlog Enterprises Limited",X,STK,59.23,59.23,56.41,59,59,57.35,20,1445,84492,
521005,"TITAN INTECH LIMITED",X,STK,24.6,24.96,23.99,24.89,24.89,23.94,3256,1191870,29418444,
521014,"EUROTEX INDUSTRIES & EXPORTS L",B,STK,15.3,15.99,14.76,15.57,15.57,15.42,22,876,13713,
