SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
100112,"STATE BANK OF INDIA",A,STK,824.25,824.25,824.25,815.5,824.25,816.1,2,4,3297,
500002,"ABB INDIA LIMITED",A,STK,5110.45,5110.45,5046,5101.35,5103.7,5060.85,618,28910,147139595,
500003,"AEGIS LOGISTICS LTD.",A,STK,729.8,739,723.95,725.4,726,734.8,459,5762,4216423,
500008,"Amara Raja Energy & Mobility L",A,STK,986,995.7,976.3,986.45,987.35,985.7,1590,23480,23156689,
500009,"AMBALAL SARABHAI ENTERPRISES L",X,STK,34.74,34.9,33.15,33.3,33.3,34.33,298,43554,1472357,
500012,"ANDHRA PETROCHEMICALS LTD.",X,STK,53.37,53.89,52.26,52.71,52.71,53.37,312,50010,2641388,
500013,"ANSAL PROPERTIES & INFRASTRUCT",Z,STK,5.54,5.54,5.41,5.41,5.41,5.52,16,2248,12265,
500014,"UTIQUE ENTERPRISES LIMITED",X,STK,5.63,5.89,5.15,5.4,5.4,5.63,134,34814,188894,
500016,"ARUNA HOTELS LTD.",X,STK,8.75,9.08,8.67,8.94,8.9,8.81,23,1771,15631,
500020,"BOMBAY DYEING & MFG.CO.LTD.",A,STK,179.15,184,178,181.05,181.05,178.55,3395,233626,42320279,
500023,"ASIAN HOTELS (NORTH) LIMITED",B,STK,346.3,350.6,336,337.5,337.5,347.8,58,1205,408575,
500027,"ATUL LTD.",A,STK,6481.05,6538.15,6446.65,6505.75,6507.9,6503,344,1115,7248885,
500028,"ATV PROJECTS INDIA LTD.",X,STK,36.77,38.25,36.25,37.88,37.88,36.6,232,65808,2466923,
500031,"BAJAJ ELECTRICALS LTD.",A,STK,576.05,593.1,576.05,589.65,588,585.6,530,5431,3190851,
500032,"BAJAJ HINDUSTHAN SUGAR LIMITED",A,STK,21.16,21.27,20.9,21.09,21.09,21.15,3845,790832,16655214,
500033,"FORCE MOTORS LTD.",A,STK,20799.85,20799.85,20082.75,20178.35,20149,20204.9,1929,5460,111139435,
500034,"BAJAJ FINANCE LIMITED",A,STK,902.95,908,898.4,900.5,900.5,894.65,9862,583088,525861232,
500038,"BALRAMPUR CHINI MILLS LTD.",A,STK,591.95,594.4,580.3,591.9,589.6,584.45,540,7019,4133781,
500039,"BANCO PRODUCTS (INDIA) LTD.",A,STK,576.05,597.95,576.05,589.4,589.55,580.4,1252,21327,12615626,
